"","joint_model.statistics.P.gammas"
"Virus",0.649777777777778
"CountryUSA",0.610666666666667
"SexMale",0.0108888888888889
"Delivery.ModeVaginal",0.0828888888888889
"HLA.CategoryLow/No Risk",0.966666666666667
"HLA.CategoryStandard Risk",0.620444444444444
"feeding_first_yearBreastmilk_and_formula",0.725555555555556
"feeding_first_yearFormula",0.289555555555556
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.728444444444444
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.00488888888888889
"Age.at.Solid.Introduction..months.8",0
