"","joint_model.statistics.P.gammas"
"Virus",0.481777777777778
"CountryUSA",0.422444444444444
"SexMale",0
"Delivery.ModeVaginal",0.00155555555555556
"HLA.CategoryLow/No Risk",0.0453333333333333
"HLA.CategoryStandard Risk",0.217333333333333
"feeding_first_yearBreastmilk_and_formula",0.0491111111111111
"feeding_first_yearFormula",0.859333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.823555555555556
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.170888888888889
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
