"","joint_model.statistics.P.gammas"
"Virus",0.693777777777778
"CountryUSA",0.811111111111111
"SexMale",0
"Delivery.ModeVaginal",0.509333333333333
"HLA.CategoryLow/No Risk",0.237777777777778
"HLA.CategoryStandard Risk",0.722666666666667
"feeding_first_yearBreastmilk_and_formula",0.618444444444444
"feeding_first_yearFormula",0.183333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.895333333333333
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.381111111111111
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
