"","joint_model.statistics.P.gammas"
"Virus",0.064
"CountryUSA",0.544
"SexMale",0.00111111111111111
"Delivery.ModeVaginal",0.000222222222222222
"HLA.CategoryLow/No Risk",0.789111111111111
"HLA.CategoryStandard Risk",0.655555555555556
"feeding_first_yearBreastmilk_and_formula",0.00333333333333333
"feeding_first_yearFormula",0.636
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.988666666666667
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.526444444444444
"Age.at.Solid.Introduction..months.5",0.466666666666667
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.0262222222222222
"Age.at.Solid.Introduction..months.8",0
