"","joint_model.statistics.P.gammas"
"CountryUSA",0.679777777777778
"SexMale",0
"Delivery.ModeVaginal",0.772888888888889
"HLA.CategoryLow/No Risk",0.036
"HLA.CategoryStandard Risk",0.945111111111111
"feeding_first_yearBreastmilk_and_formula",0.0406666666666667
"feeding_first_yearFormula",0.00933333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.600222222222222
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.798666666666667
"Age.at.Solid.Introduction..months.5",0.147333333333333
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
