"","joint_model.statistics.P.gammas"
"Virus",0.156888888888889
"CountryUSA",0.208
"SexMale",0
"Delivery.ModeVaginal",0.004
"HLA.CategoryLow/No Risk",0.196444444444444
"HLA.CategoryStandard Risk",0.567111111111111
"feeding_first_yearBreastmilk_and_formula",0.0466666666666667
"feeding_first_yearFormula",0.0686666666666667
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.777777777777778
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.928444444444444
"Age.at.Solid.Introduction..months.5",0.137555555555556
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
