"","joint_model.statistics.P.gammas"
"Virus",0.352888888888889
"CountryUSA",0.824666666666667
"SexMale",0.000888888888888889
"Delivery.ModeVaginal",0.108444444444444
"HLA.CategoryLow/No Risk",0.0855555555555556
"HLA.CategoryStandard Risk",0.0226666666666667
"feeding_first_yearBreastmilk_and_formula",0.968888888888889
"feeding_first_yearFormula",0.379333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.868444444444444
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.00688888888888889
"Age.at.Solid.Introduction..months.5",0.00133333333333333
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.00311111111111111
"Age.at.Solid.Introduction..months.8",0
