"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",2.35177472135904,-2.92180417302621,0.732130405145457,-3.99082479363184,6.58439102133304e-05,0.000539461663743425
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",2.19527986742192,-2.62868822496955,0.70316256968288,-3.73837905813882,0.000185210552782185,0.00104180935939979
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",7.60198358314829,-5.11724565359561,0.851523351959555,-6.00951887205398,1.86074703880527e-09,8.3733616746237e-08
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus;Ungulate protoparvovirus 1",1.23179504830225,1.67068760894361,0.564895440552554,2.95751654024579,0.00310128110055096,0.0126870590477085
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;unclassified Caliciviridae genus;unclassified Caliciviridae species",417.73341496943,5.86635787958117,1.01174612158325,5.79825091931275,6.70101379496556e-09,1.50772810386725e-07
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;unclassified Picornavirales species",4.46474845877351,-3.21133317832184,0.736631466321098,-4.35948411810312,1.30369414524089e-05,0.0001466655913396
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Primate astrovirus",3.08215235842311,3.64386448953628,0.785629843677868,4.63814418311529,3.51551516009845e-06,5.27327274014767e-05
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus C",43.9079356844051,3.23988976371557,0.916684285881759,3.53435726303426,0.000408768151015156,0.00204384075507578
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 8",2.08186313078161,-2.24807423288076,0.683781839029504,-3.28770684531702,0.00101006958078823,0.00454531311354705
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gyrovirus;Avian gyrovirus 2",1.19870539103375,1.64000634444395,0.570268664306569,2.87584860802084,0.00402942922460165,0.0151103595922562
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Torque teno virus",141.44298074261,-4.5105250260117,1.13620512250838,-3.96981578119792,7.19282218324567e-05,0.000539461663743425
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;unclassified Anelloviridae species",558.761676398655,-4.70853037917504,1.22651808256615,-3.83894085713252,0.000123566187881114,0.000794354064950019
