"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",2.35177472135904,2.58156535413088,0.393171889049655,6.56599677146512,5.16859357096031e-11,3.5605866822171e-10
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus chimpanzee_PT-LM1861_CMR",1.10250033272262,0.846264334286138,0.323140166572152,2.61887695133431,0.00882197630331637,0.0321742665179774
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",2.19527986742192,2.54581255629065,0.367125062599798,6.93445589974835,4.07787588570343e-12,3.16035381142015e-11
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",7.60198358314829,4.88663777883316,0.46085752448582,10.6033589975236,2.8746602448637e-26,8.91144675907748e-25
"Viruses;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Lymphocryptovirus;Human gammaherpesvirus 4",1.31287539564,0.774727510995296,0.315157320182191,2.45822470678273,0.013962577964438,0.0480933240997308
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;unclassified Caliciviridae genus;unclassified Caliciviridae species",417.73341496943,-5.64433715340255,0.522850761255605,-10.7953121075083,3.62229689345521e-27,2.24582407394223e-25
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Enterovirus;untyped human enterovirus",2.01056814037496,-1.39879066253809,0.367903627063626,-3.80205727707104,0.000143499540453222,0.000749193752579831
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;unclassified Picornavirales species",4.46474845877351,3.27591922258442,0.389672469887498,8.40685312855232,4.21157929770938e-17,5.22235832915963e-16
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Primate astrovirus",3.08215235842311,-3.69854401629471,0.415756074924262,-8.89594702126353,5.79232098264304e-19,1.19707966974623e-17
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus C",43.9079356844051,-3.22477600131692,0.500910214599851,-6.43783238457817,1.21191722676857e-10,7.51388680596515e-10
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;unclassified Adenoviridae genus;Pan troglodytes adenovirus",1.18940978850343,-1.21387855055728,0.330673164581077,-3.67093154382551,0.000241668066227742,0.00115257077739385
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus;unclassified Alphatorquevirus species",1.60743812266625,1.14978934006691,0.380938529926188,3.01830676012137,0.0025419145608058,0.010506580184664
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 8",2.08186313078161,2.49248586883277,0.359281561763614,6.93741659493419,3.99334937208184e-12,3.16035381142015e-11
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 13",1.19531798178384,1.24187730208087,0.32685531275758,3.79947106138042,0.000145005242434806,0.000749193752579831
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 9",1.19233275194533,1.17700072685289,0.328364361598016,3.58443504990891,0.000337808611987378,0.00149600956737267
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Human anellovirus zj-ad 1",1.34313921124114,-0.935196494979292,0.327526713045067,-2.85532891740226,0.00429922786533927,0.0166595079781897
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Torque teno virus",141.44298074261,5.59383694851231,0.632008234545081,8.85089250860591,8.68221502351706e-19,1.34574332864514e-17
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;unclassified Anelloviridae species",558.761676398655,5.38573341825674,0.685878797126594,7.85231070098626,4.08441100168313e-15,4.22055803507256e-14
