"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Deltapolyomavirus;Human polyomavirus 10",3.80960117523034,-2.13028886017128,0.638272301105645,-3.33758625665111,0.000845094864895714,0.0274186333943943
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus;Ungulate protoparvovirus 1",3.65090345141707,2.24264939883697,0.563658156815341,3.97874025545536,6.92813789633958e-05,0.00305006930382646
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Human picobirnavirus",2.01489510203238,2.03091672288062,0.447423780559484,4.53913450988466,5.64855963819859e-06,0.000329875882870797
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Picobirnavirus sp.",7.86436193318244,3.25138202521137,0.639454803943891,5.08461584017853,3.68370888872411e-07,3.25463059375689e-05
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;unclassified Picobirnaviridae genus;Lysoka partiti-like virus",11.9752896302412,-3.82521159184988,0.742276355875653,-5.15335233511154,2.5587056930077e-07,3.25463059375689e-05
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Enterovirus;Rhinovirus C",1.45464610123918,-1.74172114937926,0.478420438037855,-3.64056593510633,0.000272039428996708,0.00992943915837983
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;Picornavirales sp.",2.71737180447677,-2.69721071817412,0.534284664672391,-5.04826527227387,4.45839807363958e-07,3.25463059375689e-05
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Human astrovirus MLB2",1.92378203845744,-1.71937315183733,0.533194128894814,-3.22466632444208,0.00126119571953396,0.0368269150103916
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Adenovirus Lopburi070_2006_THA",4.3735911987058,-2.98666169248549,0.590488278566019,-5.05795254689643,4.23781849502155e-07,3.25463059375689e-05
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Simian mastadenovirus D",3.63348873656579,-2.28605682276251,0.576427585283424,-3.96590461859745,7.31180997492645e-05,0.00305006930382646
