"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",1.73665808257463,-0.927732123756984,0.4092837752799,-2.2667209886894,0.0234072754202405,0.0480465127047042
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Ambidensovirus;Lupine feces-associated densovirus 2",2.33432225554773,2.4059276542384,0.411368722155808,5.84859160324577,4.95752603603409e-09,4.29652256456288e-08
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Ambidensovirus;Tetranychus urticae-associated ambidensovirus",3.56512438289512,2.85130085249237,0.433321376459373,6.58010660768706,4.70111072842611e-11,6.11144394695394e-10
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Ambidensovirus;unclassified Ambidensovirus species",1.80158700639736,2.08221481601795,0.394798722394625,5.27411741200279,1.33396488155797e-07,6.70189566934567e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",3.72583175058472,-1.92597570259467,0.481732958281128,-3.99801522708088,6.38758429250681e-05,0.000216622423832839
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",3.42561964258674,-1.79307172681049,0.440464390534644,-4.07086648851234,4.68385897212251e-05,0.000166064090829798
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Human bocavirus",806.872874482063,-3.63412125420008,0.685347528232953,-5.30259628070742,1.14167218109539e-07,6.36074500896002e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",13.595805243052,-2.49386776264847,0.53819552606732,-4.63375788511576,3.59086940267238e-06,1.47414638636024e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 2",1998.53726095374,-3.94047736259214,0.726355611276292,-5.42499748252548,5.79553568625094e-08,3.76709819606311e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;unclassified Bocaparvovirus species",6047.12420319768,-2.66250105885711,0.787872517236406,-3.37935516293458,0.000726560795452211,0.0022668696818109
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;unclassified Parvoviridae genus;unclassified Parvoviridae species",4.77872044100956,1.33936958309491,0.474015243718105,2.82558335590452,0.004719460679017,0.0126937218263216
"Viruses;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;unclassified Circoviridae genus;Circoviridae sp.",5.5552273251235,3.27760484715952,0.452776030165133,7.23890981146712,4.52305665610064e-13,7.05596838351699e-12
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;unclassified Caliciviridae genus;unclassified Caliciviridae species",14.9911512434785,-3.93677024263649,0.525308612205008,-7.49420464688692,6.67015842472719e-14,1.3006808928218e-12
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;Cardiovirus B",5943.08094636473,-6.80234110860861,0.686479416430338,-9.90902413939878,3.80342851653909e-23,2.96667424290049e-21
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;unclassified Cardiovirus species",331.154076504196,-4.54063593051404,0.586993906729136,-7.73540556121869,1.0307398963187e-14,2.67992373042861e-13
