"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",3.72583175058472,-2.3150870993362,0.562434913929679,-4.11618667689193,3.85192361875879e-05,0.000248893526135183
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",3.42561964258674,-2.04975766272654,0.514975116589817,-3.98030428402077,6.88271111705906e-05,0.000361342333645601
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Human bocavirus",806.872874482063,-4.59860558185151,0.805180340082556,-5.71127404996005,1.12133503975772e-08,1.56986905566081e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",13.595805243052,-2.87249391101926,0.631851784406473,-4.54615145815807,5.46357269355227e-06,4.5894010625839e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 2",1998.53726095374,-4.87825035979388,0.849207774265504,-5.74447209225466,9.22082010988543e-09,1.54909777846075e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;unclassified Bocaparvovirus species",6047.12420319768,-4.24676787670737,0.927993478892271,-4.57629064568068,4.73292883971209e-06,4.41740025039795e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus;Ungulate protoparvovirus 1",1.38452104016123,1.4954753002608,0.404705948918519,3.69521452367355,0.00021970120932797,0.000971310609660499
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;unclassified Caliciviridae genus;unclassified Caliciviridae species",14.9911512434785,-4.39597281281261,0.611375779807902,-7.19029598162009,6.46510158849288e-13,2.71534266716701e-11
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;Cardiovirus B",5943.08094636473,-6.17366604803652,0.775829412060716,-7.95750451331609,1.75543721192855e-15,1.47456725801998e-13
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;unclassified Cardiovirus species",331.154076504196,-4.62926031599527,0.674931602643763,-6.85885843522822,6.9412981277582e-12,1.9435634757723e-10
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;unclassified Picornavirales species",7.82674703947595,-2.75457582541316,0.555316379674183,-4.96037200816827,7.03583074623628e-07,7.38762228354809e-06
