"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",0.179099433427175,0.0262325983736716,1.22277658495809,0.0793014302566982,"Dx Status: Case"
"2","Country: USA",0.380739755001195,0.0609643482939948,2.37782843735654,0.301516813804967,"Country: USA"
"3","Sex:Male",0.499873633745006,0.0638711681609266,3.91215092675097,0.508911638043221,"Sex:Male"
"4","Delivery Mode: Vaginal",1.66244541327248,0.263270630191118,10.4976569171594,0.588791548280267,"Delivery Mode: Vaginal"
"5","month18",1.56470833295202,0.196213501191259,12.4777966467404,0.672569219666291,"month18"
"6","month24",1.50474424509266,0.15309641526845,14.7897339017976,0.726001253748851,"month24"
"7","month30",2.64470435286205,0.323081313772591,21.6492282774692,0.36458419643593,"month30"
"8","month36",2.44616869732781e-12,0,Inf,0.99997111616705,"month36"
"9","month48",3.30052178680162e-11,0,Inf,0.99991239569579,"month48"
"10","month60",4.16990025627507e-26,0,Inf,0.999997220764672,"month60"
"11","month72",2.62950260840898e-08,0,Inf,0.999488416340999,"month72"
"12","month84",24.97573361822,0.888010667671814,702.454702941496,0.0587315404041985,"month84"
"13","month54",7.71048802661528e-08,0,Inf,0.999548871510896,"month54"
