"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",2044580976.60532,0,Inf,0.999525771748491,"Dx Status: Case"
"2","Country: USA",1.18326395616685e-06,0,Inf,0.999998599022779,"Country: USA"
"3","Sex:Male",5.16955982065654,0,Inf,0.999999726044829,"Sex:Male"
"4","Delivery Mode: Vaginal",4.69590172546511e-19,0,Inf,0.999995252821727,"Delivery Mode: Vaginal"
"5","HLADQ2.2 and DQ8",8.10786970442966e-13,0,Inf,0.999989274723284,"HLADQ2.2 and DQ8"
"6","HLADQ2.2 Heterozygous",1.56589833160563e-13,0,Inf,0.999991156124582,"HLADQ2.2 Heterozygous"
"7","HLADQ2.2 Homozygous",0.00119112580510291,0,Inf,0.999997783233735,"HLADQ2.2 Homozygous"
"8","HLADQ2.2/2.5 Homozygous",105701.712561875,0,Inf,0.999998774774762,"HLADQ2.2/2.5 Homozygous"
"9","HLADQ2.3 Heterozygous",4738743352.7403,0,Inf,0.999999129783378,"HLADQ2.3 Heterozygous"
"10","HLADQ2.5 and DQ7",4.50849864678603e-15,0,Inf,0.999996717970389,"HLADQ2.5 and DQ7"
"11","HLADQ2.5 and DQ8",4.67864396575344e-11,0,Inf,0.999999264418634,"HLADQ2.5 and DQ8"
"12","HLADQ2.5 Heterozygous",2.06854405274838e-14,0,Inf,0.999994969148748,"HLADQ2.5 Heterozygous"
"13","HLADQ2.5 Homozygous",1.95757021619251e-14,0,Inf,0.999997552684648,"HLADQ2.5 Homozygous"
"14","HLADQ8",63.3189045019699,0,Inf,0.999999610985471,"HLADQ8"
"15","HLADQ8 and DQ7",194495658618139,0,Inf,0.999996911385003,"HLADQ8 and DQ7"
"16","HLANegative",114.200150350879,0,Inf,0.999999555033285,"HLANegative"
