"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",1.53267700823169,0.366727844196789,6.40556436805899,0.558407934272406,"Dx Status: Case"
"2","Country: USA",0.372917432836297,0.049243849550643,2.82405646557334,0.339618103665861,"Country: USA"
"3","Sex:Male",0.456607303971342,0.0757785230253119,2.75131028840898,0.392276850795729,"Sex:Male"
"4","Delivery Mode: Vaginal",0.671610004968837,0.109768112709396,4.10920792606133,0.666651497424442,"Delivery Mode: Vaginal"
"5","HLADQ2.2 and DQ8",4.56834572365603e-11,0,Inf,0.999897844773078,"HLADQ2.2 and DQ8"
"6","HLADQ2.2 Heterozygous",0.415545774590828,0.0427866639499629,4.03579701802016,0.448989626146371,"HLADQ2.2 Heterozygous"
"7","HLADQ2.2 Homozygous",0.350667396419987,0.0163024099268763,7.54291073918138,0.503280055045795,"HLADQ2.2 Homozygous"
"8","HLADQ2.2/2.5 Homozygous",0.735234961872086,0.0684273964120323,7.89991257162597,0.799588371405013,"HLADQ2.2/2.5 Homozygous"
"9","HLADQ2.3 Heterozygous",1.31576081884011e-05,0,Inf,0.980677330770766,"HLADQ2.3 Heterozygous"
"10","HLADQ2.5 and DQ7",0.193528893801052,0.0104696463363903,3.57733504384751,0.269802045477781,"HLADQ2.5 and DQ7"
"11","HLADQ2.5 and DQ8",2.01115526560892,0.0746979415289215,54.148018266614,0.677509539783817,"HLADQ2.5 and DQ8"
"12","HLADQ2.5 Heterozygous",0.26210887518927,0.026279542299013,2.61424120980845,0.253848622888284,"HLADQ2.5 Heterozygous"
"13","HLADQ2.5 Homozygous",0.621530245592237,0.0309088498835809,12.4980336583521,0.756118220796803,"HLADQ2.5 Homozygous"
"14","HLADQ8",0.981442322995404,0.0612735252470759,15.7201504154126,0.989439008113799,"HLADQ8"
"15","HLADQ8 and DQ7",1.47657657956763e-09,0,Inf,0.999823044926456,"HLADQ8 and DQ7"
"16","HLANegative",2.00709652917763,0.036382788878053,110.723685612428,0.733487163233955,"HLANegative"
