"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",2379467406.97476,0,Inf,0.999339319866568,"Dx Status: Case"
"2","Country: USA",0.285714278445744,0.0144218604915005,5.66034104655788,0.41094822502564,"Country: USA"
"3","Sex:Male",0,0,Inf,0.999329775170567,"Sex:Male"
"4","Delivery Mode: Vaginal",4063984636.0522,0,Inf,0.99930493315814,"Delivery Mode: Vaginal"
"5","HLADQ2.2 and DQ8",0,0,Inf,0.999931464808243,"HLADQ2.2 and DQ8"
"6","HLADQ2.2 Heterozygous",0,0,Inf,0.999300500299508,"HLADQ2.2 Heterozygous"
"7","HLADQ2.2 Homozygous",1706187603.00461,0,Inf,0.999582114749465,"HLADQ2.2 Homozygous"
"8","HLADQ2.2/2.5 Homozygous",0,0,Inf,0.998879854751368,"HLADQ2.2/2.5 Homozygous"
"9","HLADQ2.3 Heterozygous",0.0002433075503602,0,Inf,0.999998227243413,"HLADQ2.3 Heterozygous"
"10","HLADQ2.5 and DQ7",4777325225.69911,0,Inf,0.999561874261913,"HLADQ2.5 and DQ7"
"11","HLADQ2.5 and DQ8",0,0,Inf,0.998756176572775,"HLADQ2.5 and DQ8"
"12","HLADQ2.5 Heterozygous",0,0,Inf,0.997888298079939,"HLADQ2.5 Heterozygous"
"13","HLADQ2.5 Homozygous",0,0,Inf,0.999934609745507,"HLADQ2.5 Homozygous"
"14","HLADQ8",0,0,Inf,0.996679068171246,"HLADQ8"
"15","HLADQ8 and DQ7",3.55885615991686e+32,0,Inf,0.999998760959398,"HLADQ8 and DQ7"
"16","HLANegative",0,0,Inf,0.999905418776769,"HLANegative"
