"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",1.03477302924743,1.39795949030044e-184,7.65941523690174e+183,0.999873741114181,"Dx Status: Case"
"2","Country: USA",10522939.8504038,0,Inf,0.999976208636258,"Country: USA"
"3","Sex:Male",96.0125213302786,6.75208315170073e-183,1.36526817651455e+186,0.983167334915757,"Sex:Male"
"4","Delivery Mode: Vaginal",376077.211817524,0,Inf,0.999990442092961,"Delivery Mode: Vaginal"
"5","month18",0,0,Inf,0.999849227406446,"month18"
"6","month24",3.13489668293112e-11,0,Inf,0.997992680010284,"month24"
"7","month30",0,0,Inf,0.999827106659293,"month30"
"8","month36",0,0,Inf,0.999921278879676,"month36"
"9","month48",9.92041250657986e-10,0,Inf,0.99032129316188,"month48"
"10","month60",1.35245668048147e-162,0,Inf,0.999982276866401,"month60"
"11","month72",3.15567640982183e-196,0,Inf,0.999989297154199,"month72"
"12","month84",1.67987375227671,0,Inf,0.999812220519685,"month84"
"13","month54",5.48699883003932e-10,0,Inf,0.994477071672236,"month54"
