"","term","estimate","std.error","statistic","p.value"
"1","get(Picornaviridae.species[i])",-0.426578214412168,1.11922544518047,-0.381136987413099,0.703101603055026
"2","CountryUSA",0.405675980253884,0.558795655750066,0.725982702405496,0.467849374691669
"3","SexMale",0.720704012392777,0.32360454753901,2.22711336374498,0.0259396982894186
"4","Delivery.ModeVaginal",-1.21009706378733,0.581441948333034,-2.08120013916543,0.0374155908293509
"5","HLA.CategoryLow/No Risk",-0.37420323689132,0.422998638035857,-0.884644070318731,0.37634862971859
"6","HLA.CategoryStandard Risk",-0.51235275299957,0.293549315635316,-1.74537198933919,0.0809201381864725
"7","feeding_first_yearBreastmilk_and_formula",-0.177182576512065,0.325973660032102,-0.543548753278459,0.586752032996775
"8","feeding_first_yearFormula",-0.082073237781066,0.340291341404107,-0.241185207482553,0.809411575259843
"9","Age.at.Gluten.Introduction..months.11",19.6776196199935,2338.59592150296,0.00841428800891227,0.99328644872781
"10","Age.at.Gluten.Introduction..months.15",-0.410611270098119,3744.96028594898,-0.000109643691453478,0.999912516991575
"11","Age.at.Gluten.Introduction..months.36",19.5450082824834,2338.59590855971,0.00835758251818749,0.993331691572511
"12","Age.at.Gluten.Introduction..months.4",19.7530879234245,2338.59597722076,0.00844655858294066,0.993260701449998
"13","Age.at.Gluten.Introduction..months.5",19.9945522094826,2338.59596334016,0.00854981045162026,0.993178321352905
"14","Age.at.Gluten.Introduction..months.6",19.3255391024336,2338.59588750269,0.00826373603310776,0.993406567648235
"15","Age.at.Gluten.Introduction..months.7",18.4655072211923,2338.59588263699,0.00789598038647479,0.993699984621289
"16","Age.at.Gluten.Introduction..months.8",18.6537648737046,2338.59590709684,0.00797648059551324,0.993635756770061
"17","Age.at.Gluten.Introduction..months.9",20.1623402848068,2338.59589337972,0.00862155806477035,0.993121077149998
"18","Age.at.Solid.Introduction..months.4",0.394245665892915,34173.9456331116,1.15364397815079e-05,0.999990795252812
"19","Age.at.Solid.Introduction..months.5",0.421158148455972,34173.9456310968,1.2323954424295e-05,0.999990166907037
"20","Age.at.Solid.Introduction..months.6",0.636428242919275,34173.9456319826,1.86232005450274e-05,0.999985140835813
"21","Age.at.Solid.Introduction..months.7",0.129445337119335,34173.9456315109,3.78783704156117e-06,0.999996977743306
"22","Age.at.Solid.Introduction..months.8",21.1346561506507,34093.8358664673,0.000619896694329941,0.999505394029979
