"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",18.8788574377862,17730.5411297454,0.0010647648765843,0.999150440704616
"2","fixed",NA,"Dx.StatusCELIAC",0.0360782027271162,0.68266519371097,0.0528490438057856,0.957852184765355
"3","fixed",NA,"month18",0.727571381309289,0.611950877754601,1.18893755652239,0.234464239900575
"4","fixed",NA,"month24",0.567760585826954,0.65036253428279,0.872990917985569,0.382668028000249
"5","fixed",NA,"month30",0.395674975385852,0.682690164934133,0.579582064762903,0.562196490710415
"6","fixed",NA,"month36",-0.0474833053172757,0.812139853659101,-0.0584669070275758,0.953376721751036
"7","fixed",NA,"month48",-1.27230342936577,1.15283941305825,-1.10362589529326,0.269755453333772
"8","fixed",NA,"month54",26.5570568859893,190826.654989296,0.000139168487166947,0.999888959613098
"9","fixed",NA,"month60",-0.706655827951125,1.21126544710271,-0.583402944120474,0.559622076356625
"10","fixed",NA,"month72",-23.5968599001888,151838.840469681,-0.000155407271467544,0.999876002937959
"11","fixed",NA,"month84",1.19601048338672,1.68714463138271,0.708896238733562,0.478388869373845
"12","fixed",NA,"CountryUSA",0.361632350054566,0.597574173751804,0.605167301297673,0.545067839889653
"13","fixed",NA,"SexMale",0.524645469654216,0.465060052621179,1.12812413514599,0.25926749760505
"14","fixed",NA,"Delivery.ModeVaginal",-1.18025245871549,0.566599820367592,-2.08304418089963,0.0372471966037307
"15","fixed",NA,"HLA.CategoryLow/No Risk",-0.341060993213726,0.680789627087315,-0.500978539689154,0.616386226301883
"16","fixed",NA,"HLA.CategoryStandard Risk",0.15732073553711,0.450270631735701,0.34939150912568,0.726795406905502
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.167034418761034,0.421382416006035,0.396396271928542,0.69181271590105
"18","fixed",NA,"feeding_first_yearFormula",0.00525935792202557,0.48847774044715,0.0107668323170902,0.991409476701369
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",0.391768341023627,1.15811034711321,0.338282394246952,0.735150389844476
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",-1.58619933499978,1.07386291077949,-1.47709667507596,0.139649724702024
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",1.24254531097844,1.23630371626173,1.00504859334694,0.314873451677975
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",-22.6070521356218,61283.0288390094,-0.000368895803029099,0.999705663740894
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",-21.0382752764879,24815.7138085392,-0.000847780379754725,0.999323569205071
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",0.621587319200759,0.736546785879224,0.843921025951886,0.398713537962727
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",-0.279032808441682,0.630549540104701,-0.442523212998219,0.658110636449084
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",-0.264069473536864,0.776476482159366,-0.34008689201055,0.733791092752539
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",0.788020034146619,0.821742126967828,0.95896268219126,0.337577545184626
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",-19.8923893670469,17730.5411410631,-0.0011219279326437,0.999104831212005
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",-19.3821709530393,17730.5411293828,-0.00109315168734018,0.999127791319768
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",-19.3948158366931,17730.5411316359,-0.00109386485684228,0.999127222293173
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-20.5258780691475,17730.5411306134,-0.00115765660607547,0.999076323873615
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",-16.5306743947512,17730.5411793452,-0.000932327684053334,0.999256110243054
"33","fixed",NA,"Dx.StatusCELIAC:month18",-1.30410631077465,0.909870637548931,-1.43328760920095,0.151775661536811
"34","fixed",NA,"Dx.StatusCELIAC:month24",-3.04958218316557,1.3314838377915,-2.29036365039461,0.0220002448578294
"35","fixed",NA,"Dx.StatusCELIAC:month30",-0.788391460799142,0.99368451994195,-0.793402176422351,0.427543543124516
"36","fixed",NA,"Dx.StatusCELIAC:month36",-0.454911421280492,1.11967037836011,-0.406290485193296,0.684529175672153
"37","fixed",NA,"Dx.StatusCELIAC:month48",0.625185134525856,1.41039577210081,0.44326929142352,0.657570964849291
"38","fixed",NA,"Dx.StatusCELIAC:month54",-28.0505558975875,229697.235091199,-0.000122119693284294,0.999902562582401
"39","fixed",NA,"Dx.StatusCELIAC:month60",-0.438433227112968,1.69346923871173,-0.25889648131223,0.79571511315978
"40","fixed",NA,"Dx.StatusCELIAC:month72",0.714599172715528,172201.209289884,4.14979183748106e-06,0.999996688945162
"41","fixed",NA,"Dx.StatusCELIAC:month84",-27.0643202475696,361514.569379185,-7.48637054767837e-05,0.999940267405291
"42","ran_pars","patientID","sd__(Intercept)",2.22473831290175e-05,NA,NA,NA
