"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-61.6966948405056,86621692.3589073,-7.1225455380013e-07,0.999999431703088
"2","fixed",NA,"CountryUSA",6.77048451321477,15304803.773583,4.42376433790091e-07,0.999999647034673
"3","fixed",NA,"SexMale",8.13353492127026,11505352.3415214,7.06934883855521e-07,0.999999435947571
"4","fixed",NA,"Delivery.ModeVaginal",-3.37216277641778,14466656.5808691,-2.33098971940564e-07,0.999999814013929
"5","fixed",NA,"HLA.CategoryLow/No Risk",-3.73231390273596,16867481.3175086,-2.21272745615066e-07,0.999999823449893
"6","fixed",NA,"HLA.CategoryStandard Risk",-0.689889788102247,11875710.7982617,-5.80925049305875e-08,0.999999953648887
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-0.512902570804756,10551410.4643631,-4.86098586096201e-08,0.999999961214944
"8","fixed",NA,"feeding_first_yearFormula",0.755155288295791,12978429.0288725,5.81854157090843e-08,0.999999953574755
"9","fixed",NA,"Age.at.Gluten.Introduction..months.11",3.91107627673444,29890705.7808283,1.30845899237447e-07,0.999999895600077
"10","fixed",NA,"Age.at.Gluten.Introduction..months.15",-4.5155678177542,26080812.6874529,-1.73137542601445e-07,0.999999861856228
"11","fixed",NA,"Age.at.Gluten.Introduction..months.36",62.9299873816437,33709279.1184152,1.86684465012084e-06,0.999998510473476
"12","fixed",NA,"Age.at.Gluten.Introduction..months.4",-0.491151480224976,40046750.3282033,-1.22644528257534e-08,0.999999990214382
"13","fixed",NA,"Age.at.Gluten.Introduction..months.5",68.473004072394,30296318.7135855,2.26010970902842e-06,0.999998196693357
"14","fixed",NA,"Age.at.Gluten.Introduction..months.6",-0.347682451347729,20134572.007815,-1.72679335430016e-08,0.999999986222182
"15","fixed",NA,"Age.at.Gluten.Introduction..months.7",1.25950793769088,16687131.3232036,7.54777986279477e-08,0.99999993977743
"16","fixed",NA,"Age.at.Gluten.Introduction..months.8",2.01364562972275,19781760.626073,1.01793043995725e-07,0.999999918780902
"17","fixed",NA,"Age.at.Gluten.Introduction..months.9",2.91670687314728,22400772.9820438,1.30205635112917e-07,0.999999896110934
"18","fixed",NA,"Age.at.Solid.Introduction..months.4",10.7345492957576,72359708.985737,1.4834981298603e-07,0.999999881633975
"19","fixed",NA,"Age.at.Solid.Introduction..months.5",-52.9858500583065,70912484.9341175,-7.47200582627077e-07,0.999999403820191
"20","fixed",NA,"Age.at.Solid.Introduction..months.6",2.74628154062962,71259070.0984095,3.85393962738635e-08,0.999999969250011
"21","fixed",NA,"Age.at.Solid.Introduction..months.7",-0.117421346209875,70919534.9060732,-1.65569819888679e-09,0.999999998678944
"22","fixed",NA,"Age.at.Solid.Introduction..months.8",12.1742900466026,80118029.488087,1.51954436777715e-07,0.999999878757901
"23","fixed",NA,"Dx.StatusCONTROL:month12",-0.302867981925524,51768504.6929084,-5.8504294014699e-09,0.999999995332033
"24","fixed",NA,"Dx.StatusCELIAC:month12",7.81011093370517,50856885.4530684,1.5357037427926e-07,0.999999877468569
"25","fixed",NA,"Dx.StatusCONTROL:month18",-0.30286798192495,51768504.6929085,-5.85042940145881e-09,0.999999995332033
"26","fixed",NA,"Dx.StatusCELIAC:month18",-67.63645229504,50951163.9821657,-1.32747609688985e-06,0.999998940827317
"27","fixed",NA,"Dx.StatusCONTROL:month24",1.33366084406359,52116245.5128458,2.55901174564632e-08,0.99999997958204
"28","fixed",NA,"Dx.StatusCELIAC:month24",-64.1893436371756,51493442.303687,-1.24655375064292e-06,0.999999005394008
"29","fixed",NA,"Dx.StatusCONTROL:month30",2.14957469051394,52492161.5142086,4.0950393897041e-08,0.999999967326313
"30","fixed",NA,"Dx.StatusCELIAC:month30",-64.0308269445749,51386953.1238802,-1.24605221855076e-06,0.999999005794173
"31","fixed",NA,"Dx.StatusCONTROL:month36",2.39330182357718,53191782.545476,4.4993826283807e-08,0.999999964100121
"32","fixed",NA,"Dx.StatusCELIAC:month36",-63.9941973529788,51743732.0861849,-1.23675264177677e-06,0.999999013214162
"33","fixed",NA,"Dx.StatusCONTROL:month48",2.24344937170847,53325289.9284853,4.2071020611743e-08,0.999999966432182
"34","fixed",NA,"Dx.StatusCELIAC:month48",-64.0641105584927,51867237.5055185,-1.23515563271856e-06,0.99999901448839
"35","fixed",NA,"Dx.StatusCONTROL:month54",-0.717564479959415,87278940.569549,-8.22150767730295e-09,0.999999993440186
"36","fixed",NA,"Dx.StatusCELIAC:month54",-81.0284403299409,86223859.086187,-9.39744998526998e-07,0.999999250191975
"37","fixed",NA,"Dx.StatusCONTROL:month60",2.70928374413297,56455539.0755655,4.79896886735348e-08,0.999999961709768
"38","fixed",NA,"Dx.StatusCELIAC:month60",-1.31844363846355,54261474.0184233,-2.42979694583288e-08,0.999999980613025
"39","fixed",NA,"Dx.StatusCONTROL:month72",8.86671504426099,71239360.3758117,1.24463709352331e-07,0.999999900692328
"40","fixed",NA,"Dx.StatusCELIAC:month72",0.153061224435987,67108863.9999996,2.28078997784835e-09,0.999999998180193
"41","fixed",NA,"Dx.StatusCONTROL:month84",8.866715044261,71239360.3758117,1.24463709352331e-07,0.999999900692328
"42","ran_pars","patientID","sd__(Intercept)",0.201530612244898,NA,NA,NA
