"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-34.7786172336507,86519170.8575792,-4.01975849848358e-07,0.999999679269676
"2","fixed",NA,"CountryUSA",27.3757587071948,15296704.3092207,1.78965077403588e-06,0.999998572065278
"3","fixed",NA,"SexMale",36.745375107064,11386226.9762266,3.22717746482528e-06,0.999997425084926
"4","fixed",NA,"Delivery.ModeVaginal",-62.4668698114307,14373401.3148467,-4.34600470988775e-06,0.999996532389941
"5","fixed",NA,"HLA.CategoryLow/No Risk",-26.0136505095616,16869239.4805475,-1.54207606925961e-06,0.999998769601313
"6","fixed",NA,"HLA.CategoryStandard Risk",3.94832339786789,11865784.1861653,3.32748627138473e-07,0.999999734505008
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-2.03236213358074,10550210.949177,-1.92637108714806e-07,0.999999846297825
"8","fixed",NA,"feeding_first_yearFormula",3.31939358406446,12942141.1679363,2.56479475922279e-07,0.999999795358986
"9","fixed",NA,"Age.at.Gluten.Introduction..months.11",38.3370051275563,29845718.4071467,1.28450602543969e-06,0.999998975112474
"10","fixed",NA,"Age.at.Gluten.Introduction..months.15",-4.04957226638868,26063970.5936965,-1.55370504729163e-07,0.999999876032273
"11","fixed",NA,"Age.at.Gluten.Introduction..months.36",68.9896194727409,33562836.4662858,2.0555360254501e-06,0.999998359919541
"12","fixed",NA,"Age.at.Gluten.Introduction..months.4",2.1265150472562,40018416.0546762,5.31384111842606e-08,0.999999957601682
"13","fixed",NA,"Age.at.Gluten.Introduction..months.5",3.73696098197872,30829800.1476458,1.21212624281773e-07,0.999999903286318
"14","fixed",NA,"Age.at.Gluten.Introduction..months.6",36.4776500216771,19956533.1478414,1.82785505635896e-06,0.999998541582671
"15","fixed",NA,"Age.at.Gluten.Introduction..months.7",0.316768079415167,16680045.6479949,1.89908400792205e-08,0.999999984847502
"16","fixed",NA,"Age.at.Gluten.Introduction..months.8",28.7390449395096,19767306.9398836,1.45386749074676e-06,0.999998839981576
"17","fixed",NA,"Age.at.Gluten.Introduction..months.9",6.71085401716335,22308188.5899706,3.00824694488214e-07,0.999999759976621
"18","fixed",NA,"Age.at.Solid.Introduction..months.4",-22.8812684037457,72373224.7402217,-3.16156541122443e-07,0.999999747743577
"19","fixed",NA,"Age.at.Solid.Introduction..months.5",-24.1819259842936,70891215.1400586,-3.41113153957338e-07,0.999999727831081
"20","fixed",NA,"Age.at.Solid.Introduction..months.6",-19.9554446441824,71210128.6247339,-2.80233234085904e-07,0.999999776406229
"21","fixed",NA,"Age.at.Solid.Introduction..months.7",-19.9719044822792,70894057.0009331,-2.81714791438954e-07,0.999999775224117
"22","fixed",NA,"Age.at.Solid.Introduction..months.8",124.28733693492,79308533.2331495,1.56713700112878e-06,0.999998749605582
"23","fixed",NA,"Dx.StatusCONTROL:month12",-62.6194075295327,51757926.7388218,-1.20985154304035e-06,0.999999034678133
"24","fixed",NA,"Dx.StatusCELIAC:month12",-63.8917034677409,50890470.1538946,-1.25547481236723e-06,0.999998998276031
"25","fixed",NA,"Dx.StatusCONTROL:month18",-62.1903902530462,51757926.7388218,-1.20156262376714e-06,0.999999041291734
"26","fixed",NA,"Dx.StatusCELIAC:month18",-63.8740133546486,50951581.7735587,-1.25362179408915e-06,0.999998999754525
"27","fixed",NA,"Dx.StatusCONTROL:month24",9.94941854543318,51996655.6653753,1.91347278360799e-07,0.999999847326961
"28","fixed",NA,"Dx.StatusCELIAC:month24",-63.9353158916738,51496369.9371436,-1.24154995720501e-06,0.999999009386458
"29","fixed",NA,"Dx.StatusCONTROL:month30",1.53688542570981,52476698.2207979,2.92870069538922e-08,0.999999976632349
"30","fixed",NA,"Dx.StatusCELIAC:month30",-63.8452257936311,51388490.0790767,-1.2424032248347e-06,0.999999008705649
"31","fixed",NA,"Dx.StatusCONTROL:month36",3.555527985096,53167569.0591234,6.68739994702819e-08,0.999999946642268
"32","fixed",NA,"Dx.StatusCELIAC:month36",8.75253306513979,51693605.7082456,1.69315584494886e-07,0.999999864905709
"33","fixed",NA,"Dx.StatusCONTROL:month48",3.4988975356546,53300605.8280516,6.56446110001467e-08,0.999999947623178
"34","fixed",NA,"Dx.StatusCELIAC:month48",0.29943710209381,51869579.8099023,5.77288466941938e-09,0.999999995393904
"35","fixed",NA,"Dx.StatusCONTROL:month54",0.520583864489253,87270583.5282269,5.96516997415143e-09,0.999999995240483
"36","fixed",NA,"Dx.StatusCELIAC:month54",-2.57221158673304,86593215.5953822,-2.97045394266454e-08,0.999999976299207
"37","fixed",NA,"Dx.StatusCONTROL:month60",3.34769110555975,56432429.0168158,5.9322116093252e-08,0.9999999526678
"38","fixed",NA,"Dx.StatusCELIAC:month60",0.905113464461297,54258698.5583672,1.66814444229186e-08,0.999999986690133
"39","fixed",NA,"Dx.StatusCONTROL:month72",3.1184553316039,71224246.6349443,4.37836197494283e-08,0.999999965065726
"40","fixed",NA,"Dx.StatusCELIAC:month72",0.210948008456847,67108863.9999999,3.14337027753663e-09,0.999999997491953
"41","fixed",NA,"Dx.StatusCONTROL:month84",3.14079324111762,71224246.6349443,4.40972476299478e-08,0.999999964815487
"42","ran_pars","patientID","sd__(Intercept)",0.20090326455751,NA,NA,NA
