"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-21.0855605456175,86626443.9158821,-2.43407897086165e-07,0.999999805788597
"2","fixed",NA,"CountryUSA",-36.7593421864472,15311092.4998088,-2.40083078244784e-06,0.999998084414186
"3","fixed",NA,"SexMale",20.4973130508877,11525901.0075928,1.77836969425513e-06,0.999998581066278
"4","fixed",NA,"Delivery.ModeVaginal",24.3838111692866,14474373.5872372,1.68461944292961e-06,0.999998655868156
"5","fixed",NA,"HLA.CategoryLow/No Risk",-4.60485511073144,16872915.6060239,-2.72914013099635e-07,0.999999782246123
"6","fixed",NA,"HLA.CategoryStandard Risk",-14.2128516855251,11872271.4976353,-1.19714678765188e-06,0.999999044815061
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",8.34166126744453,10551420.6035312,7.9057233910786e-07,0.999999369214536
"8","fixed",NA,"feeding_first_yearFormula",15.746893262313,12975947.1895552,1.2135448019539e-06,0.999999031731339
"9","fixed",NA,"Age.at.Gluten.Introduction..months.11",27.0661435298506,29890552.0681852,9.05508318083531e-07,0.999999277508893
"10","fixed",NA,"Age.at.Gluten.Introduction..months.15",28.6078316858117,26086261.4796825,1.096662766648e-06,0.99999912498971
"11","fixed",NA,"Age.at.Gluten.Introduction..months.36",19.1651464010766,33728926.1245037,5.68210986923576e-07,0.999999546633226
"12","fixed",NA,"Age.at.Gluten.Introduction..months.4",31.4287749262291,40059518.7981561,7.84551983377189e-07,0.999999374018085
"13","fixed",NA,"Age.at.Gluten.Introduction..months.5",24.5289557974152,30865537.5266607,7.94703665090163e-07,0.999999365918215
"14","fixed",NA,"Age.at.Gluten.Introduction..months.6",2.72571041651368,20135311.7167639,1.35369665732284e-07,0.999999891990634
"15","fixed",NA,"Age.at.Gluten.Introduction..months.7",-0.87902635590725,16687358.0331804,-5.26761848196361e-08,0.999999957970485
"16","fixed",NA,"Age.at.Gluten.Introduction..months.8",37.9975689371368,19774267.5618184,1.92156644074673e-06,0.999998466811804
"17","fixed",NA,"Age.at.Gluten.Introduction..months.9",22.2914109377444,22398106.289926,9.95236411918018e-07,0.999999205916233
"18","fixed",NA,"Age.at.Solid.Introduction..months.4",-53.1526994128791,72389329.1124536,-7.34261528108772e-07,0.999999414144063
"19","fixed",NA,"Age.at.Solid.Introduction..months.5",-39.7792939756201,70911284.007612,-5.60972693307174e-07,0.999999552408549
"20","fixed",NA,"Age.at.Solid.Introduction..months.6",-60.9028504821624,71261888.9451856,-8.54634242561387e-07,0.999999318100533
"21","fixed",NA,"Age.at.Solid.Introduction..months.7",-75.9273594673274,70920937.463189,-1.07059159372699e-06,0.999999145791496
"22","fixed",NA,"Age.at.Solid.Introduction..months.8",-52.0138591936551,80136144.212353,-6.49068653163839e-07,0.999999482118143
"23","fixed",NA,"Dx.StatusCONTROL:month12",-53.51186260571,51768603.906367,-1.03367405276171e-06,0.999999175247432
"24","fixed",NA,"Dx.StatusCELIAC:month12",-3.90079847025341,50892548.555427,-7.66477329388418e-08,0.999999938843957
"25","fixed",NA,"Dx.StatusCONTROL:month18",19.3667248701979,51766023.393748,3.74120390181195e-07,0.999999701495117
"26","fixed",NA,"Dx.StatusCELIAC:month18",-4.11044382267291,50953946.6953131,-8.06697829954554e-08,0.999999935634826
"27","fixed",NA,"Dx.StatusCONTROL:month24",-53.6516271495399,52116353.4814386,-1.02945857807661e-06,0.999999178610895
"28","fixed",NA,"Dx.StatusCELIAC:month24",-3.74430111912434,51500350.1795002,-7.27043817386464e-08,0.999999941990296
"29","fixed",NA,"Dx.StatusCONTROL:month30",-53.6315180272959,52492375.7026322,-1.02170110057729e-06,0.999999184800466
"30","fixed",NA,"Dx.StatusCELIAC:month30",-3.58666697023999,51392766.6074483,-6.97893343169461e-08,0.999999944316168
"31","fixed",NA,"Dx.StatusCONTROL:month36",9.96376601036651,53192081.6234504,1.87316715313015e-07,0.999999850542885
"32","fixed",NA,"Dx.StatusCELIAC:month36",-3.92227581844559,51746895.4502254,-7.5797316618122e-08,0.999999939522491
"33","fixed",NA,"Dx.StatusCONTROL:month48",10.497671883851,53325482.4736779,1.96860326374595e-07,0.999999842928185
"34","fixed",NA,"Dx.StatusCELIAC:month48",-3.92365608086279,51870690.7911073,-7.56430273246999e-08,0.999999939645596
"35","fixed",NA,"Dx.StatusCONTROL:month54",6.90558047022339,87278809.7099674,7.91209285870309e-08,0.999999936870633
"36","fixed",NA,"Dx.StatusCELIAC:month54",-5.10735597810802,86593912.2636001,-5.89805431421177e-08,0.999999952940335
"37","fixed",NA,"Dx.StatusCONTROL:month60",12.8031109431913,56456031.1162978,2.26780216214938e-07,0.999999819055567
"38","fixed",NA,"Dx.StatusCELIAC:month60",-1.16402564811498,54262306.6290885,-2.14518276208145e-08,0.999999982883918
"39","fixed",NA,"Dx.StatusCONTROL:month72",33.8253089766195,71239979.531075,4.74807954736495e-07,0.999999621158064
"40","fixed",NA,"Dx.StatusCELIAC:month72",3.20581951184402e-11,67108864.0000001,4.77704333043697e-19,1
"41","fixed",NA,"Dx.StatusCONTROL:month84",33.8253089766194,71239979.531075,4.74807954736494e-07,0.999999621158064
"42","ran_pars","patientID","sd__(Intercept)",0.2,NA,NA,NA
