"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-49.9133693567147,86626705.675366,-5.76189166696068e-07,0.99999954026756
"2","fixed",NA,"CountryUSA",0.56170056829866,15323600.3384416,3.66559134859154e-08,0.999999970752813
"3","fixed",NA,"SexMale",-0.284784582843153,11530815.2261551,-2.46976971929255e-08,0.999999980294089
"4","fixed",NA,"Delivery.ModeVaginal",0.430164257179435,14479177.0062814,2.97091648919562e-08,0.999999976295516
"5","fixed",NA,"HLA.CategoryLow/No Risk",0.0407882047130967,16873109.1254767,2.41734966625153e-09,0.999999998071234
"6","fixed",NA,"HLA.CategoryStandard Risk",-0.680531762044989,11875715.6602587,-5.73044843370866e-08,0.999999954277637
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.359696576758464,10551420.9508683,3.40898707798084e-08,0.999999972800218
"8","fixed",NA,"feeding_first_yearFormula",-1.60349417656906,12978485.7279552,-1.23550174510358e-07,0.999999901421223
"9","fixed",NA,"Age.at.Gluten.Introduction..months.11",75.9424165153717,29890734.0989149,2.54066749461762e-06,0.999997972840632
"10","fixed",NA,"Age.at.Gluten.Introduction..months.15",-1.23222951990141,26087184.0021135,-4.72350530360645e-08,0.99999996231188
"11","fixed",NA,"Age.at.Gluten.Introduction..months.36",0.131153065731601,33729203.5925774,3.88841276289319e-09,0.999999996897496
"12","fixed",NA,"Age.at.Gluten.Introduction..months.4",2.09250892063366,40060462.4468693,5.22337684795546e-08,0.999999958323483
"13","fixed",NA,"Age.at.Gluten.Introduction..months.5",0.842083323583914,30866652.722732,2.72813295030126e-08,0.999999978232648
"14","fixed",NA,"Age.at.Gluten.Introduction..months.6",0.40300965321146,20135322.7619577,2.0015058014013e-08,0.999999984030294
"15","fixed",NA,"Age.at.Gluten.Introduction..months.7",-0.0950066787919716,16687531.8169192,-5.69327326738913e-09,0.999999995457425
"16","fixed",NA,"Age.at.Gluten.Introduction..months.8",-0.0808835061023216,19781849.3832512,-4.08877373067069e-09,0.999999996737631
"17","fixed",NA,"Age.at.Gluten.Introduction..months.9",0.867568002319028,22401609.174196,3.87279322468657e-08,0.999999969099581
"18","fixed",NA,"Age.at.Solid.Introduction..months.4",-3.28653577345073,72390129.1419258,-4.54003302992768e-08,0.999999963775777
"19","fixed",NA,"Age.at.Solid.Introduction..months.5",-2.34146159028738,70912867.7811796,-3.30188534683519e-08,0.999999973654767
"20","fixed",NA,"Age.at.Solid.Introduction..months.6",-1.88174920694837,71263048.4569463,-2.64056793484668e-08,0.999999978931316
"21","fixed",NA,"Age.at.Solid.Introduction..months.7",-2.80235311682138,70921059.7559158,-3.95136948949445e-08,0.999999968472633
"22","fixed",NA,"Age.at.Solid.Introduction..months.8",-1.91735000478957,80136156.3962296,-2.3926153823866e-08,0.999999980909691
"23","fixed",NA,"Dx.StatusCONTROL:month12",1.91611135464265,51768689.8709682,3.70129388906402e-08,0.999999970467948
"24","fixed",NA,"Dx.StatusCELIAC:month12",10.7911314487698,50892725.8108382,2.12036814237049e-07,0.9999998308191
"25","fixed",NA,"Dx.StatusCONTROL:month18",1.91611135464308,51768689.8709681,3.70129388906485e-08,0.999999970467948
"26","fixed",NA,"Dx.StatusCELIAC:month18",-62.239304890335,50954131.6925046,-1.22147709759698e-06,0.999999025402282
"27","fixed",NA,"Dx.StatusCONTROL:month24",1.85056989500181,52116425.2404847,3.55083812149929e-08,0.999999971668411
"28","fixed",NA,"Dx.StatusCELIAC:month24",-62.7974880555745,51500451.4717668,-1.21935801067687e-06,0.999999027093069
"29","fixed",NA,"Dx.StatusCONTROL:month30",1.8484586272736,52492411.28854,3.521382580642e-08,0.999999971903432
"30","fixed",NA,"Dx.StatusCELIAC:month30",-62.7192596491499,51392839.8918166,-1.220389061612e-06,0.99999902627041
"31","fixed",NA,"Dx.StatusCONTROL:month36",1.76262218531435,53192084.0005978,3.31369266392071e-08,0.999999973560558
"32","fixed",NA,"Dx.StatusCELIAC:month36",-62.6590416371886,51747030.7941743,-1.21087221190366e-06,0.999999033863757
"33","fixed",NA,"Dx.StatusCONTROL:month48",1.68612856792952,53325502.0651985,3.16195535462182e-08,0.999999974771246
"34","fixed",NA,"Dx.StatusCELIAC:month48",-62.737635440816,51870826.1787954,-1.20949751647609e-06,0.999999034960605
"35","fixed",NA,"Dx.StatusCONTROL:month54",2.43473107943157,87279080.6842332,2.78959294752448e-08,0.999999977742269
"36","fixed",NA,"Dx.StatusCELIAC:month54",1.40550822569018,86594136.351131,1.62309861257924e-08,0.999999987049547
"37","fixed",NA,"Dx.StatusCONTROL:month60",1.73603930759136,56456112.8035513,3.07502451263728e-08,0.999999975464854
"38","fixed",NA,"Dx.StatusCELIAC:month60",-63.7668132085145,54262317.8892695,-1.17515829933105e-06,0.999999062359336
"39","fixed",NA,"Dx.StatusCONTROL:month72",2.0688526654683,71240361.0820744,2.90404573200411e-08,0.999999976829067
"40","fixed",NA,"Dx.StatusCELIAC:month72",-2.24631791652613e-12,67108864.0000003,-3.34727453667838e-20,1
"41","fixed",NA,"Dx.StatusCONTROL:month84",2.06885266546827,71240361.0820743,2.90404573200407e-08,0.999999976829067
"42","ran_pars","patientID","sd__(Intercept)",0.2,NA,NA,NA
