"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-39.760598311526,94111.0906740747,-0.000422485788090851,0.999662905122552
"2","fixed",NA,"CountryUSA",1.54649348663823,1.42102116407535,1.0882972933373,0.276463885050739
"3","fixed",NA,"SexMale",0.118960903349262,0.761794883783508,0.156158706079036,0.87590792512702
"4","fixed",NA,"Delivery.ModeVaginal",-4.64647467288922,1.61708962615603,-2.87335630489097,0.00406135786418497
"5","fixed",NA,"HLA.CategoryLow/No Risk",-3.71925623562695,1.69727795291342,-2.19130651478901,0.0284296189403529
"6","fixed",NA,"HLA.CategoryStandard Risk",-1.5250475578048,0.865848319471253,-1.76133339236149,0.0781819914085404
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",2.53971709974851,1.03858384341544,2.44536550019546,0.0144705410910116
"8","fixed",NA,"feeding_first_yearFormula",-1.19225780273094,1.21068977064791,-0.984775647433524,0.324734285126498
"9","fixed",NA,"Age.at.Gluten.Introduction..months.11",-2.67221545687855,2.01986891701265,-1.32296478963135,0.185847087419843
"10","fixed",NA,"Age.at.Gluten.Introduction..months.15",-28.1959117399216,127200.767544817,-0.000221664635238835,0.999823137211315
"11","fixed",NA,"Age.at.Gluten.Introduction..months.36",-23.9845390374492,393362.940407996,-6.09730520434194e-05,0.99995135054318
"12","fixed",NA,"Age.at.Gluten.Introduction..months.4",-33.8298939894988,1907367.62286865,-1.77364308714747e-05,0.999985848375645
"13","fixed",NA,"Age.at.Gluten.Introduction..months.5",-1.79570328766108,1.92938503549848,-0.930712768380694,0.352002163073411
"14","fixed",NA,"Age.at.Gluten.Introduction..months.6",-0.168925938606005,1.25334709263449,-0.134779854358563,0.892785934377474
"15","fixed",NA,"Age.at.Gluten.Introduction..months.7",-3.75730655389876,1.51845663676599,-2.47442466444156,0.0133450962809258
"16","fixed",NA,"Age.at.Gluten.Introduction..months.8",-2.29320556566682,1.40023035706724,-1.63773450139298,0.101477090131192
"17","fixed",NA,"Age.at.Gluten.Introduction..months.9",-1.6277359380991,1.38193988509024,-1.17786305733032,0.238851204907642
"18","fixed",NA,"Age.at.Solid.Introduction..months.4",21.7291540871507,79497.9956605295,0.000273329584055654,0.999781914547587
"19","fixed",NA,"Age.at.Solid.Introduction..months.5",20.3353448992956,79497.9956519633,0.000255796951011473,0.999795903564313
"20","fixed",NA,"Age.at.Solid.Introduction..months.6",21.3750397139465,79497.9956549321,0.000268875202926206,0.999785468629387
"21","fixed",NA,"Age.at.Solid.Introduction..months.7",20.5165443566239,79497.9956541264,0.000258076246926849,0.999794084949353
"22","fixed",NA,"Age.at.Solid.Introduction..months.8",23.2754534185803,79497.9956746221,0.000292780380449397,0.999766395058071
"23","fixed",NA,"Dx.StatusCONTROL:month12",19.7918475817979,50373.3240110988,0.000392903346569648,0.99968650849395
"24","fixed",NA,"Dx.StatusCELIAC:month12",21.247178378879,50373.3240045782,0.000421794249213094,0.999663456890696
"25","fixed",NA,"Dx.StatusCONTROL:month18",18.9731205327498,50373.3240160483,0.000376650159650081,0.999699476659897
"26","fixed",NA,"Dx.StatusCELIAC:month18",19.6643433111494,50373.3240083063,0.000390372160231213,0.999688528088295
"27","fixed",NA,"Dx.StatusCONTROL:month24",21.0915756614418,50373.3240108068,0.000418705258698372,0.999665921548319
"28","fixed",NA,"Dx.StatusCELIAC:month24",-5.9357200884094,261802.974461801,-2.26724700153301e-05,0.999981909986221
"29","fixed",NA,"Dx.StatusCONTROL:month30",21.6534122093042,50373.3240130453,0.000429858712593527,0.999657022380458
"30","fixed",NA,"Dx.StatusCELIAC:month30",19.3017389418143,50373.3240140273,0.000383173819072162,0.99969427153314
"31","fixed",NA,"Dx.StatusCONTROL:month36",21.7053478200214,50373.324016216,0.000430889726733819,0.999656199750269
"32","fixed",NA,"Dx.StatusCELIAC:month36",19.3615529088444,50373.3240139468,0.000384361232613592,0.999693324114277
"33","fixed",NA,"Dx.StatusCONTROL:month48",-5.25135602437536,393956.563345947,-1.33297843289489e-05,0.999989364370885
"34","fixed",NA,"Dx.StatusCELIAC:month48",20.4877969905087,50373.32400812,0.00040671917912755,0.999675485055339
"35","fixed",NA,"Dx.StatusCONTROL:month54",23.7256513449676,884736.208350237,2.68166388139677e-05,0.99997860341792
"36","fixed",NA,"Dx.StatusCELIAC:month54",-7.78480905227153,2648051.43152353,-2.93982547302437e-06,0.999997654358644
"37","fixed",NA,"Dx.StatusCONTROL:month60",-3.85022071580983,235778.2621558,-1.63298375372096e-05,0.999986970674749
"38","fixed",NA,"Dx.StatusCELIAC:month60",-6.24389609204323,691875.252279609,-9.02459810705858e-06,0.999992799412503
"39","fixed",NA,"Dx.StatusCONTROL:month72",-7.48290826730373,3741978.42352416,-1.99971977931834e-06,0.999998404454462
"40","fixed",NA,"Dx.StatusCELIAC:month72",-6.08228503966293,1055359.91447403,-5.7632329561183e-06,0.999995401605404
"41","fixed",NA,"Dx.StatusCONTROL:month84",-1.11132693125606,162923.584007249,-6.82115445733511e-06,0.999994557506172
"42","ran_pars","patientID","sd__(Intercept)",0,NA,NA,NA
