"","01_GEMM_128_36M","01_GEMM_150_36M","01_GEMM_151_36M","01_GEMM_175_36M","01_GEMM_079_36M","01_GEMM_093_36M","01_GEMM_106_36M","01_GEMM_001_36M","01_GEMM_009_36M","01_GEMM_014_36M","01_GEMM_026_36M","01_GEMM_052_36M","01_GEMM_061_36M","02_GEMM_021_36M","02_GEMM_175_36M","02_GEMM_177_36M","02_GEMM_045_36M","02_GEMM_134_36M"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus;Ungulate protoparvovirus 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;unclassified Caliciviridae genus;unclassified Caliciviridae species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;unclassified Picornavirales species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Primate astrovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gyrovirus;Avian gyrovirus 2",0,2,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Torque teno virus",0,0,0,0,0,0,57,0,0,0,0,0,1,0,0,0,31,0
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;unclassified Anelloviridae species",0,0,0,0,0,0,36,1,0,0,0,2,0,0,0,1,29,1
