"effect","component","term","estimate","std.error","statistic","p.value","gene"
"fixed","cond","(Intercept)",0.634108779092509,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC",0.053549104613678,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-6",7.92216598551909,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-12",-28.4804311668218,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-18",-19.3795040245833,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-24",9.45416135737373,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-30",9.55225742410021,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-36",9.45416300467429,NA,NA,NA,"edge_187"
"fixed","cond","SexMale",-3.66183581644526,NA,NA,NA,"edge_187"
"fixed","cond","Age.at.Gluten.Introduction..months.",-2.39382724561919,NA,NA,NA,"edge_187"
"fixed","cond","HLA.CategoryHigh Risk",6.58939390568625,NA,NA,NA,"edge_187"
"fixed","cond","HLA.CategoryLow/No Risk",-8.5932505014955,NA,NA,NA,"edge_187"
"fixed","cond","feeding_first_yearFormula",0.566314697749485,NA,NA,NA,"edge_187"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-4.82748671242989,NA,NA,NA,"edge_187"
"fixed","cond","Delivery.ModeC-Section",-1.86785765063718,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-73.9903953336555,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",37.3113470590045,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-3.06016873118326,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-23.1075280791532,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-27.8966388445202,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-17.834797158172,NA,NA,NA,"edge_187"
"fixed","cond","(Intercept)",-1128.46262743812,NA,NA,NA,"edge_1980"
