"effect","term","estimate","std.error","statistic","p.value","gene"
"fixed","(Intercept)",-19.0526311462352,67972.0007225841,-0.000280301167299683,0.999776352029165,"edge_16"
"fixed","Dx.StatusCELIAC",-2.62842190893139,93880.2753685757,-2.7997594794137e-05,0.999977661151377,"edge_16"
"fixed","onset_timeline_combinedt0-6",-24797.0422587018,39531223.4064627,-0.000627277380306117,0.999499505095735,"edge_16"
"fixed","onset_timeline_combinedt0-12",-30.2546631156188,18112043.3084881,-1.67041689335185e-06,0.999998667200151,"edge_16"
"fixed","onset_timeline_combinedt0-18",2.62459474049871,84126.7541493025,3.11980982392445e-05,0.999975107519093,"edge_16"
"fixed","onset_timeline_combinedt0-24",-16102.0637160961,21351829.0884226,-0.000754130414280384,0.999398291042647,"edge_16"
"fixed","onset_timeline_combinedt0-30",22.4211630424713,67972.0005710192,0.000329858807363555,0.999736810755133,"edge_16"
"fixed","onset_timeline_combinedt0-36",22.9154693190838,67972.0005625515,0.000337131011731746,0.999731008375867,"edge_16"
"fixed","onset_timeline_combinedt0-over42",21.9204770825081,67972.0005616998,0.000322492745562349,0.999742688021805,"edge_16"
"fixed","SexMale",-5013.51001828273,11764618.2246153,-0.000426151526769725,0.999659980286519,"edge_16"
"fixed","Age.at.Gluten.Introduction..months.",-1.08651737597922,0.634156829597553,-1.71332598699401,0.0866525841045966,"edge_16"
"fixed","HLA.CategoryHigh Risk",1.85894442210886,3.33767987732325,0.556957075104426,0.577556757348225,"edge_16"
"fixed","HLA.CategoryLow/No Risk",0.868605209660814,500641.744664474,1.73498358640258e-06,0.999998615683383,"edge_16"
"fixed","feeding_first_yearFormula",-1.40939169896535,3.46133843643344,-0.407181130897325,0.68387495918237,"edge_16"
"fixed","feeding_first_yearBreastmilk_and_formula",4.35990017816843,3.58281201641222,1.21689336705261,0.223644789619658,"edge_16"
"fixed","Delivery.ModeC-Section",6.64262324960223,500641.744664821,1.32682168844099e-05,0.999989413494599,"edge_16"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-6",18791.8112509424,54934385.2772512,0.000342077392076038,0.999727061735586,"edge_16"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-12",-13038.3265776269,25857919.1196823,-0.000504229536695492,0.999597683054618,"edge_16"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-18",23.8435165052382,106163.222278791,0.000224592999283911,0.999820800714914,"edge_16"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-24",6039.1025836404,28737228.2066766,0.000210149097895158,0.999832325280557,"edge_16"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-21095.873867756,20487232.2094935,-0.00102970833990842,0.999178411758645,"edge_16"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-20233.3358316825,20487441.9080737,-0.000987596983677548,0.999212011742522,"edge_16"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-10895.7779118045,15508697.2371432,-0.0007025591992156,0.99943943890801,"edge_16"
"fixed","(Intercept)",-304.269336907629,116096.163259279,-0.00262083886638097,0.997908875526081,"edge_1732"
"fixed","Dx.StatusCELIAC",-76.4514374403104,18335154.7975181,-4.16966413889557e-06,0.99999667308936,"edge_1732"
"fixed","onset_timeline_combinedt0-6",-32.0056528301468,8111551.56722544,-3.94568814176871e-06,0.99999685179635,"edge_1732"
"fixed","onset_timeline_combinedt0-12",-31.0961703709841,5828061.74694959,-5.33559384254291e-06,0.99999574281205,"edge_1732"
"fixed","onset_timeline_combinedt0-18",19.0062666345832,12566.4362316797,0.00151246274474133,0.998793229787271,"edge_1732"
"fixed","onset_timeline_combinedt0-24",-3.09935552298998e-07,2.00631385685245,-1.54480093550883e-07,0.999999876742718,"edge_1732"
"fixed","onset_timeline_combinedt0-30",19.0059885990439,12565.2707988872,0.00151258089883166,0.998793135514055,"edge_1732"
"fixed","onset_timeline_combinedt0-36",-9.8249193666266e-08,2.00631385685243,-4.89700020416558e-08,0.999999960927591,"edge_1732"
"fixed","onset_timeline_combinedt0-over42",-0.643794622431977,1.88682836926169,-0.341204654816533,0.732949519296302,"edge_1732"
"fixed","SexMale",-265.778896164207,101584.14304062,-0.00261634235628616,0.997912463209763,"edge_1732"
"fixed","Age.at.Gluten.Introduction..months.",38.0138073903816,14512.0204142764,0.0026194703635467,0.997909967429616,"edge_1732"
"fixed","HLA.CategoryHigh Risk",-192.524257740935,8924855.05230626,-2.15716957432474e-05,0.999982788277017,"edge_1732"
"fixed","HLA.CategoryLow/No Risk",-906.503888711156,16201923.2642971,-5.5950387736297e-05,0.999955358049478,"edge_1732"
"fixed","feeding_first_yearFormula",46.0173677229682,3471691.25083934,1.3255028860024e-05,0.99998942401712,"edge_1732"
"fixed","feeding_first_yearBreastmilk_and_formula",-131.494969601176,9193149.2905297,-1.43035825314656e-05,0.999988587392334,"edge_1732"
"fixed","Delivery.ModeC-Section",740.534712009543,15039624.1551411,4.92389107846421e-05,0.99996071303331,"edge_1732"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-6",26.7964855192518,43634509.6696132,6.14112218107786e-07,0.999999510009343,"edge_1732"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-12",20.6240459807997,26138175.7373481,7.89039227069338e-07,0.999999370437783,"edge_1732"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-11.1446274419033,18889071.519291,-5.9000398354792e-07,0.999999529244931,"edge_1732"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-24",9.77495182794344,18407882.9830232,5.31019880828147e-07,0.999999576307436,"edge_1732"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-10.6133512005204,18623448.294088,-5.69891839197662e-07,0.9999995452921,"edge_1732"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-36",10.1225584782828,18388426.1424915,5.50485310697245e-07,0.99999956077627,"edge_1732"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",8.28318093886402,18585350.6067955,4.4568332952704e-07,0.999999644396152,"edge_1732"
"fixed","(Intercept)",-24.2062951613075,13232.4975311958,-0.00182930660702871,0.998540425315322,"edge_187"
"fixed","Dx.StatusCELIAC",18.3434743797325,13232.497473974,0.00138624431372921,0.998893937418823,"edge_187"
"fixed","onset_timeline_combinedt0-6",3.13755404056078,14888.146139168,0.000210741754630313,0.999831852408909,"edge_187"
