"effect","component","term","estimate","std.error","statistic","p.value","gene","timepoint","comparison"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-35.7413897290591,NA,NA,NA,"edge_187","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-55.8113035285752,NA,NA,NA,"edge_1980","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-25.698408482381,NA,NA,NA,"edge_209","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-0.293535684626361,NA,NA,NA,"edge_2658","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",86.4750483598966,NA,NA,NA,"edge_305","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",74.1259604302287,NA,NA,NA,"edge_329","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-4.37203948427096,NA,NA,NA,"edge_4","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",6.25517678601427,NA,NA,NA,"edge_48666","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-18.0585453129232,NA,NA,NA,"edge_48806","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-80.0934646072168,NA,NA,NA,"edge_61","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",0.426848783654603,2.40515196421866,0.177472687798864,0.859137116666421,"virus_comp_103_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",0.5432258584024,NA,NA,NA,"virus_comp_1044_cycle_1","t0-6","CELIAC_vs_CONTROL"
