"effect","term","estimate","std.error","statistic","p.value","gene"
"fixed","(Intercept)",-5.39480646416414,2.0472445810421,-2.63515483890941,0.00840989098301526,"edge_187"
"fixed","Dx.StatusCELIAC",0.72956781630622,2.05906330516575,0.354320245752469,0.723098896747058,"edge_187"
"fixed","onset_timeline_combinedt0-6",2.12599074759311,1.83544031716954,1.15830012433836,0.246741580667227,"edge_187"
"fixed","onset_timeline_combinedt0-12",-18.3876814366275,14213.3140232226,-0.00129369416636997,0.99896778168618,"edge_187"
"fixed","onset_timeline_combinedt0-18",-11.6038171928374,769.060707614958,-0.0150882980731438,0.987961736685674,"edge_187"
"fixed","onset_timeline_combinedt0-24",1.5018362693681,2.05442563807553,0.731024886729379,0.464763952050672,"edge_187"
"fixed","onset_timeline_combinedt0-30",2.32880084995786,1.89743559217404,1.22734118594749,0.21969438182846,"edge_187"
"fixed","onset_timeline_combinedt0-36",1.93159222282423,1.8604187375023,1.03825670204628,0.299150560690954,"edge_187"
"fixed","onset_timeline_combinedt0-over42",0.869190238321092,2.16997875712487,0.400552418067323,0.688749683591783,"edge_187"
"fixed","SexMale",-1.04458868824357,1.64847670250351,-0.633669063479742,0.526296818593516,"edge_187"
"fixed","Age.at.Gluten.Introduction..months.",0.00975601427793027,0.12524115239975,0.0778978322300216,0.937909323802687,"edge_187"
"fixed","HLA.CategoryHigh Risk",0.598770806504084,1.21606101885374,0.492385494823677,0.622446851459113,"edge_187"
"fixed","HLA.CategoryLow/No Risk",-0.708171387290195,2.4215869915351,-0.292441027213013,0.769949443331589,"edge_187"
"fixed","feeding_first_yearFormula",1.26237564114258,1.40837975995754,0.896331853832264,0.37007555126356,"edge_187"
"fixed","feeding_first_yearBreastmilk_and_formula",0.0733001705666647,1.25385329961886,0.0584599255662097,0.953382282639669,"edge_187"
"fixed","Delivery.ModeC-Section",0.543563765586263,1.26573864382661,0.42944392054188,0.667600196859248,"edge_187"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-40.2151845469562,21221686.1426479,-1.89500420827251e-06,0.9999984880054,"edge_187"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-12",19.3132968635221,14213.3141111519,0.00135881728304088,0.998915821002545,"edge_187"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-18",14.1932907446213,769.062499560993,0.0184553150787138,0.985275624889079,"edge_187"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-25.1055204915341,304594.693615156,-8.24227112874592e-05,0.999934236191279,"edge_187"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-50.2344094718552,18612650.0146263,-2.69893913184742e-06,0.999997846558136,"edge_187"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-50.0532807724556,19372660.3477051,-2.58370713542112e-06,0.999997938499967,"edge_187"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",1.51409574765351,2.70055205389441,0.560661567500637,0.575028271689649,"edge_187"
"fixed","(Intercept)",-23.322772879965,13683.040915305,-0.00170450216617255,0.998640004696295,"edge_1980"
"fixed","Dx.StatusCELIAC",19.7189608023516,13683.0409226735,0.00144112415608407,0.99885014968367,"edge_1980"
"fixed","onset_timeline_combinedt0-6",21.5209057739993,13683.040911899,0.00157281600724327,0.998745074908232,"edge_1980"
"fixed","onset_timeline_combinedt0-12",0.397999540361624,20615.4535699138,1.93058832788654e-05,0.9999845961338,"edge_1980"
"fixed","onset_timeline_combinedt0-18",-13.2992404212214,14901551.9422371,-8.92473513683223e-07,0.999999287909162,"edge_1980"
"fixed","onset_timeline_combinedt0-24",21.4977589947761,13683.04090743,0.00157112436776408,0.998746424639587,"edge_1980"
"fixed","onset_timeline_combinedt0-30",-8.29817191850993,1647913.49371696,-5.0355628193765e-06,0.999995982202171,"edge_1980"
"fixed","onset_timeline_combinedt0-36",20.4154978004289,13683.0409215148,0.00149202928775344,0.998809533308729,"edge_1980"
"fixed","onset_timeline_combinedt0-over42",20.1143967549765,13683.0409171926,0.00147002386945309,0.998827091072989,"edge_1980"
"fixed","SexMale",2.35713506035939,1.08393262831428,2.17461399240762,0.0296590548876889,"edge_1980"
"fixed","Age.at.Gluten.Introduction..months.",-0.00115764673574407,0.127299548279327,-0.00909387936871469,0.992744234061035,"edge_1980"
"fixed","HLA.CategoryHigh Risk",-1.98345709118747,1.33316381728375,-1.48778197058232,0.136808401907575,"edge_1980"
"fixed","HLA.CategoryLow/No Risk",-0.135667961746738,1.75704479491276,-0.0772137182498381,0.938453528642781,"edge_1980"
"fixed","feeding_first_yearFormula",-0.726900355168104,1.41645542389458,-0.513182655031583,0.607823557742818,"edge_1980"
"fixed","feeding_first_yearBreastmilk_and_formula",-0.292017488732995,0.97374400220502,-0.2998914376589,0.764259965678659,"edge_1980"
"fixed","Delivery.ModeC-Section",0.872577992171584,0.976235935814615,0.893818758519134,0.371418870883874,"edge_1980"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-20.8813940579716,13683.041024635,-0.00152607845144779,0.998782366037644,"edge_1980"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-12",0.60384780784782,20615.4536285066,2.9291026951395e-05,0.999976629141829,"edge_1980"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-14.8222803311758,15057586.97525,-9.84372884947568e-07,0.999999214584073,"edge_1980"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-51.4505678491538,5405399.47147339,-9.5183655011402e-06,0.999992405443123,"edge_1980"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-22.351488614362,5669806.80532884,-3.9421958069814e-06,0.99999685458283,"edge_1980"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-54.783768955724,19260753.761653,-2.84432113268564e-06,0.999997730560082,"edge_1980"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-48.6674881725655,2263486.1437077,-2.150112043224e-05,0.999982844587968,"edge_1980"
"fixed","(Intercept)",-2.26190597116534,1.71949627799645,-1.31544685505275,0.188359767219879,"edge_209"
"fixed","Dx.StatusCELIAC",-19.4820025032881,23772.2738645666,-0.000819526252064877,0.999346112729499,"edge_209"
"fixed","onset_timeline_combinedt0-6",2.10051097795141,1.82081648168871,1.15360938297489,0.248660349797655,"edge_209"
"fixed","onset_timeline_combinedt0-12",-19.8611507956739,23391.3258232572,-0.000849081875296124,0.999322530762246,"edge_209"
"fixed","onset_timeline_combinedt0-18",-20.3815346064727,34333.2170307565,-0.000593638941210037,0.999526344681937,"edge_209"
"fixed","onset_timeline_combinedt0-24",-54.0838849667359,19373042.3208871,-2.79170839927528e-06,0.99999777253897,"edge_209"
"fixed","onset_timeline_combinedt0-30",1.64401339187616,1.78180611977218,0.922666823080823,0.356180860396122,"edge_209"
"fixed","onset_timeline_combinedt0-36",1.51676282006909,1.7612138921457,0.861203075238751,0.389126206645494,"edge_209"
"fixed","onset_timeline_combinedt0-over42",1.52410885321137,1.84728760963305,0.82505227949541,0.409341910534221,"edge_209"
"fixed","SexMale",0.719156980672027,0.948376438417458,0.758303297656861,0.448269433590721,"edge_209"
"fixed","Age.at.Gluten.Introduction..months.",-0.230522547328888,0.177483545440664,-1.29883898113786,0.19399919386683,"edge_209"
"fixed","HLA.CategoryHigh Risk",0.410778207214605,0.86089350161415,0.477153337136833,0.633252936322989,"edge_209"
"fixed","HLA.CategoryLow/No Risk",2.31968190913176,1.29339426557888,1.79348399081818,0.0728955682244419,"edge_209"
"fixed","feeding_first_yearFormula",-28.545251299191,729927.048554205,-3.91069920695933e-05,0.999968797134816,"edge_209"
"fixed","feeding_first_yearBreastmilk_and_formula",-0.272562077105594,0.85745572827471,-0.317873061101378,0.750581227700281,"edge_209"
"fixed","Delivery.ModeC-Section",0.0603686495192764,1.12244269418038,0.0537832798344846,0.957107830996029,"edge_209"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-37.0645234194219,21223707.8404444,-1.74637361662089e-06,0.999998606595454,"edge_209"
"fixed","Dx.StatusCELIAC:onset_timeline_combinedt0-12",40.2324190322201,33350.7904879599,0.00120634079263412,0.999037479539943,"edge_209"
