"","Contig","total_PA"
"1","virus_comp_11357_cycle_1",46
"2","virus_comp_163_cycle_1",46
"3","virus_comp_15385_cycle_1",45
"4","virus_comp_16864_cycle_1",44
"5","virus_comp_169_cycle_1",44
"6","virus_comp_14804_cycle_1",43
"7","virus_comp_14827_cycle_1",43
"8","virus_comp_15170_cycle_1",43
"9","virus_comp_16423_cycle_1",43
"10","virus_comp_16866_cycle_1",43
"11","virus_comp_168_cycle_1",42
"12","virus_comp_17029_cycle_1",42
"13","virus_comp_7868_cycle_1",42
"14","virus_comp_435_cycle_1",39
"15","virus_comp_164_cycle_1",38
"16","virus_comp_13344_cycle_1",36
"17","virus_comp_15415_cycle_1",35
"18","virus_comp_231_cycle_1",28
"19","edge_1096",28
"20","virus_comp_15325_cycle_1",27
"21","virus_comp_13452_cycle_1",26
"22","virus_comp_17160_cycle_1",23
"23","edge_251",23
"24","edge_507",23
"25","edge_1379",22
"26","virus_comp_14805_cycle_1",21
"27","virus_comp_15413_cycle_1",21
"28","virus_comp_16622_cycle_1",21
"29","virus_comp_17059_cycle_1",20
"30","virus_comp_69_cycle_1",20
"31","virus_comp_1456_cycle_1",19
"32","virus_comp_71_cycle_1",19
"33","virus_comp_17098_cycle_1",18
"34","virus_comp_22_cycle_1",18
"35","edge_363",17
"36","edge_449",17
"37","edge_452",17
"38","virus_comp_14988_cycle_1",16
"39","virus_comp_15096_cycle_1",16
"40","virus_comp_17079_cycle_1",16
"41","virus_comp_259_cycle_1",16
"42","edge_236",16
"43","virus_comp_19_cycle_1",15
"44","virus_comp_206_cycle_1",15
"45","virus_comp_3389_cycle_1",15
"46","virus_comp_10852_cycle_1",14
"47","virus_comp_12339_cycle_1",14
"48","virus_comp_166_cycle_1",14
"49","virus_comp_171_cycle_1",14
"50","virus_comp_17166_cycle_1",14
"51","virus_comp_198_cycle_1",14
"52","virus_comp_256_cycle_1",14
"53","edge_1375",14
"54","edge_1733",14
"55","edge_641",14
"56","virus_comp_15851_cycle_1",13
"57","virus_comp_16836_cycle_1",13
"58","virus_comp_17127_cycle_1",13
"59","virus_comp_1813_cycle_1",13
"60","virus_comp_20_cycle_1",13
"61","edge_1543",13
"62","edge_644",13
"63","virus_comp_16023_cycle_1",12
"64","edge_1271",12
"65","virus_comp_1525_cycle_1",11
"66","virus_comp_15764_cycle_1",11
"67","virus_comp_219_cycle_1",11
"68","virus_comp_334_cycle_1",11
"69","edge_1115",11
"70","edge_1563",11
"71","edge_508",11
"72","virus_comp_15207_cycle_1",10
"73","virus_comp_218_cycle_1",10
"74","edge_1117",10
"75","edge_1125",10
"76","edge_1279",10
"77","edge_1280",10
"78","edge_1281",10
"79","edge_1282",10
"80","edge_1304",10
"81","edge_1567",10
"82","edge_531",10
"83","virus_comp_112_cycle_1",9
"84","virus_comp_121_cycle_1",9
"85","virus_comp_12435_cycle_1",9
"86","virus_comp_154_cycle_1",9
"87","virus_comp_15421_cycle_1",9
"88","virus_comp_157_cycle_1",9
"89","virus_comp_15799_cycle_1",9
"90","virus_comp_15825_cycle_1",9
"91","virus_comp_16225_cycle_1",9
"92","virus_comp_16347_cycle_1",9
"93","virus_comp_16775_cycle_1",9
"94","virus_comp_16993_cycle_1",9
"95","virus_comp_17131_cycle_1",9
"96","virus_comp_3613_cycle_1",9
"97","virus_comp_681_cycle_1",9
"98","virus_comp_731_cycle_1",9
"99","virus_comp_9267_cycle_1",9
"100","edge_1114",9
"101","edge_1565",9
"102","edge_1647",9
"103","edge_1648",9
"104","edge_48333",9
"105","edge_48406",9
"106","edge_574",9
"107","edge_654",9
"108","virus_comp_1110_cycle_1",8
"109","virus_comp_14240_cycle_1",8
"110","virus_comp_16497_cycle_1",8
"111","virus_comp_16562_cycle_1",8
"112","virus_comp_16571_cycle_1",8
"113","virus_comp_16721_cycle_1",8
"114","virus_comp_16769_cycle_1",8
"115","virus_comp_17068_cycle_1",8
"116","virus_comp_17137_cycle_1",8
"117","virus_comp_17395_cycle_1",8
"118","virus_comp_17656_cycle_1",8
"119","virus_comp_1832_cycle_1",8
"120","virus_comp_21_cycle_1",8
"121","virus_comp_357_cycle_1",8
"122","virus_comp_3697_cycle_1",8
"123","virus_comp_542_cycle_1",8
"124","virus_comp_5934_cycle_1",8
