	family_portal	family_TerL	family_MCP	subfamily_portal	subfamily_TerL	subfamily_MCP	genus_portal	genus_TerL	genus_MCP
sample-1_1093_6313	Zeta	Zeta	not_found	Zeta	Zeta	not_found	Zeta_4	Zeta_4	not_found
sample-1_10_102032	Suoliviridae	Suoliviridae	Suoliviridae	Loutivirinae	Loutivirinae	Loutivirinae	Blohavirus	Blohavirus	Blohavirus
sample-1_11_101626	Suoliviridae	Suoliviridae	Suoliviridae	unknown	unknown	unknown	unknown	unknown	unknown
sample-1_12_101623	Suoliviridae	Suoliviridae	Suoliviridae	Loutivirinae	Loutivirinae	Loutivirinae	Buchavirus	Buchavirus	Buchavirus
sample-1_13_99291	Suoliviridae	Suoliviridae	Suoliviridae	Loutivirinae	Loutivirinae	Loutivirinae	unknown	unknown	unknown
sample-1_15_98423	Steigviridae	Steigviridae	Steigviridae	Asinivirinae	Asinivirinae	Asinivirinae	Kolpuevirus	Kolpuevirus	Kolpuevirus
sample-1_16_98401	Suoliviridae	Suoliviridae	Suoliviridae	Uncouvirinae	Uncouvirinae	Uncouvirinae	Aurodevirus	Aurodevirus	Aurodevirus
sample-1_17_96846	Intestiviridae	Intestiviridae	Intestiviridae	Churivirinae	Churivirinae	Churivirinae	Jahgtovirus	Jahgtovirus	Jahgtovirus
sample-1_18_96565	Suoliviridae	Suoliviridae	Suoliviridae	Loutivirinae	Loutivirinae	Loutivirinae	Blohavirus	Blohavirus	Blohavirus
sample-1_1971_3823	unknown	not_found	not_found	unknown	not_found	not_found	unknown	not_found	not_found
sample-1_19_96211	Crevaviridae	Crevaviridae	Crevaviridae	Coarsevirinae	Coarsevirinae	Coarsevirinae	Junduvirus	Junduvirus	Junduvirus
sample-1_1_194036	Intestiviridae	Intestiviridae	Intestiviridae	Churivirinae	Churivirinae	Churivirinae	Jahgtovirus	Jahgtovirus	Jahgtovirus
sample-1_2023_3705	not_found	not_found	Suoliviridae	not_found	not_found	Oafivirinae	not_found	not_found	unknown
sample-1_2087_3578	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short
sample-1_20_95736	Suoliviridae	Suoliviridae	Suoliviridae	Uncouvirinae	Uncouvirinae	Uncouvirinae	Aurodevirus	Aurodevirus	Aurodevirus
sample-1_21_95604	Suoliviridae	Suoliviridae	Suoliviridae	Uncouvirinae	Uncouvirinae	Uncouvirinae	Aurodevirus	Aurodevirus	Aurodevirus
sample-1_22_93708	Suoliviridae	Suoliviridae	Suoliviridae	Uncouvirinae	Uncouvirinae	Uncouvirinae	Aurodevirus	Aurodevirus	Aurodevirus
sample-1_2370_3154	not_found	Steigviridae	not_found	not_found	Asinivirinae	not_found	not_found	unknown	not_found
sample-1_23_92914	Steigviridae	Steigviridae	Steigviridae	Asinivirinae	Asinivirinae	Asinivirinae	unknown	unknown	unknown
sample-1_241_22966	Intestiviridae	Intestiviridae	Intestiviridae	Churivirinae	Churivirinae	Churivirinae	Jahgtovirus	Jahgtovirus	Jahgtovirus
sample-1_2468_3000	too_short	Suoliviridae	not_found	too_short	Loutivirinae	not_found	too_short	Blohavirus	not_found
sample-1_2475_2996	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found
sample-1_2496_2968	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short
sample-1_24_92306	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	unknown	unknown	unknown
sample-1_2557_2904	too_short	Suoliviridae	not_found	too_short	Loutivirinae	not_found	too_short	Blohavirus	not_found
sample-1_273_20403	Suoliviridae	Suoliviridae	Suoliviridae	Bearivirinae	Bearivirinae	Bearivirinae	Afonbuvirus	Afonbuvirus	Afonbuvirus
sample-1_2809_2618	not_found	not_found	not_found	not_found	not_found	not_found	not_found	not_found	not_found
sample-1_2895_2535	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found
sample-1_2_180874	Zeta	Zeta	Zeta	Zeta	Zeta	Zeta	Zeta_3	unknown	Zeta_3
sample-1_309_18290	Suoliviridae	Suoliviridae	Suoliviridae	Boorivirinae	Boorivirinae	Boorivirinae	Culoivirus	Culoivirus	Culoivirus
sample-1_30_80291	Intestiviridae	Intestiviridae	Intestiviridae	Churivirinae	Churivirinae	Churivirinae	Jahgtovirus	Jahgtovirus	Jahgtovirus
sample-1_3125_2250	Epsilon	not_found	not_found	Epsilon	not_found	not_found	Epsilon_2	not_found	not_found
sample-1_3157_2206	Suoliviridae	not_found	not_found	Boorivirinae	not_found	not_found	Cohcovirus	not_found	not_found
sample-1_3406_1938	not_found	Suoliviridae	not_found	not_found	Oafivirinae	not_found	not_found	unknown	not_found
sample-1_3423_1921	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short
sample-1_347_16656	not_found	not_found	Steigviridae	not_found	not_found	Asinivirinae	not_found	not_found	unknown
sample-1_352_16508	Intestiviridae	Intestiviridae	Intestiviridae	Crudevirinae	Crudevirinae	Crudevirinae	Endlipuvirus	Endlipuvirus	Endlipuvirus
sample-1_3596_1751	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found
sample-1_3635_1721	not_found	Suoliviridae	not_found	not_found	Oafivirinae	not_found	not_found	unknown	not_found
sample-1_3643_1714	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short
sample-1_3684_1680	too_short	too_short	not_found	too_short	too_short	not_found	too_short	too_short	not_found
sample-1_3983_1483	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found
sample-1_3_171347	Zeta	Zeta	Zeta	Zeta	Zeta	Zeta	Zeta_9	Zeta_9	Zeta_9
sample-1_4061_1441	not_found	not_found	Steigviridae	not_found	not_found	Asinivirinae	not_found	not_found	unknown
sample-1_41_65330	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found
sample-1_4226_1355	Suoliviridae	not_found	not_found	Oafivirinae	not_found	not_found	unknown	not_found	not_found
sample-1_4390_1275	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found
sample-1_4409_1266	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found
sample-1_4411_1265	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found
sample-1_4677_1147	not_found	not_found	Crevaviridae	not_found	not_found	Doltivirinae	not_found	not_found	Kingevirus
sample-1_4798_1110	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found
sample-1_4954_1063	too_short	too_short	not_found	too_short	too_short	not_found	too_short	too_short	not_found
sample-1_4981_1057	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found
sample-1_4_157545	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon_2	Epsilon_2	Epsilon_2
sample-1_516_11797	Steigviridae	Steigviridae	not_found	Asinivirinae	Asinivirinae	not_found	unknown	unknown	not_found
sample-1_5191_1012	not_found	not_found	Steigviridae	not_found	not_found	Asinivirinae	not_found	not_found	unknown
sample-1_5_155540	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon_2	Epsilon_2	unknown
sample-1_6_155389	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon_2	Epsilon_2	Epsilon_2
sample-1_7_152939	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon_2	Epsilon_2	Epsilon_2
sample-1_9_104613	Suoliviridae	Suoliviridae	Suoliviridae	Loutivirinae	Loutivirinae	Loutivirinae	Blohavirus	Blohavirus	Blohavirus
