genome	ref_shared_prot	most_similar_family	most_similar_subfamily	most_similar_genus
sample-1_1093_6313	100.0	Zeta	Zeta	Zeta_1,Zeta_10,Zeta_12,Zeta_2,Zeta_3,Zeta_4,Zeta_6,Zeta_8
sample-1_10_102032	79.3	Suoliviridae	Loutivirinae	Blohavirus
sample-1_11_101626	43.8	Suoliviridae	Uncouvirinae	Birpovirus
sample-1_12_101623	88.6	Suoliviridae	Loutivirinae	Buchavirus
sample-1_13_99291	71.2	Suoliviridae	Loutivirinae	Buorbuivirus
sample-1_15_98423	93.8	Steigviridae	Asinivirinae	Kolpuevirus
sample-1_16_98401	95.3	Suoliviridae	Uncouvirinae	Aurodevirus
sample-1_17_96846	93.3	Intestiviridae	Churivirinae	Jahgtovirus
sample-1_18_96565	89.8	Suoliviridae	Loutivirinae	Blohavirus
sample-1_1971_3823	85.7	Zeta	Zeta	Zeta_4
sample-1_19_96211	79.1	Crevaviridae	Coarsevirinae	Junduvirus
sample-1_1_194036	73.2	Intestiviridae	Churivirinae	Jahgtovirus
sample-1_2023_3705	75.0	Suoliviridae	Oafivirinae	Bohxovirus,Buhlduvirus,Burzaovirus,Cacepaovirus,Chuhaivirus
sample-1_2087_3578	83.3	Suoliviridae	Boorivirinae,Loutivirinae,Uncouvirinae	Birpovirus,Blohavirus,Buchavirus,Canhaevirus,Culoivirus
sample-1_20_95736	91.4	Suoliviridae	Uncouvirinae	Aurodevirus
sample-1_21_95604	93.5	Suoliviridae	Uncouvirinae	Aurodevirus
sample-1_22_93708	95.0	Suoliviridae	Uncouvirinae	Aurodevirus
sample-1_2370_3154	83.3	Steigviridae	Asinivirinae	Kahnovirus,Lahndsivirus,Mahlunavirus,Wulfhauvirus
sample-1_23_92914	52.7	Steigviridae	Asinivirinae	Kahnovirus,Lahndsivirus
sample-1_241_22966	96.3	Intestiviridae	Churivirinae	Jahgtovirus
sample-1_2468_3000	50.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae,Zeta	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Epsilon,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae,Zeta	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus,Zeta_1,Zeta_10,Zeta_11,Zeta_12,Zeta_14,Zeta_15,Zeta_16,Zeta_2,Zeta_3,Zeta_4,Zeta_5,Zeta_6,Zeta_8,Zeta_9
sample-1_2475_2996				
sample-1_2496_2968	80.0	Suoliviridae	Boorivirinae,Loutivirinae,Uncouvirinae	Birpovirus,Blohavirus,Buchavirus,Canhaevirus,Culoivirus
sample-1_24_92306	75.2	Epsilon	Epsilon	Epsilon_1
sample-1_2557_2904	50.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae,Zeta	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Epsilon,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae,Zeta	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus,Zeta_1,Zeta_10,Zeta_11,Zeta_12,Zeta_14,Zeta_15,Zeta_16,Zeta_2,Zeta_3,Zeta_4,Zeta_5,Zeta_6,Zeta_8,Zeta_9
sample-1_273_20403	95.5	Suoliviridae	Bearivirinae	Afonbuvirus
sample-1_2809_2618	100.0	Steigviridae	Asinivirinae	Kahnovirus,Kehishuvirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Wulfhauvirus
sample-1_2895_2535	80.0	Suoliviridae	Loutivirinae	Buchavirus
sample-1_2_180874	93.8	Zeta	Zeta	Zeta_3
sample-1_309_18290	88.0	Suoliviridae	Boorivirinae	Culoivirus
sample-1_30_80291	71.4	Intestiviridae	Churivirinae	Jahgtovirus
sample-1_3125_2250	100.0	Epsilon	Epsilon	Epsilon_1,Epsilon_2
sample-1_3157_2206	100.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Epsilon,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus
sample-1_3406_1938	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae,Zeta	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae,Zeta	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus,Zeta_1,Zeta_10,Zeta_11,Zeta_12,Zeta_14,Zeta_15,Zeta_16,Zeta_2,Zeta_3,Zeta_4,Zeta_5,Zeta_6,Zeta_8,Zeta_9
sample-1_3423_1921	100.0	Suoliviridae	Boorivirinae	Canhaevirus,Cohcovirus
sample-1_347_16656	90.0	Steigviridae	Asinivirinae	Kehishuvirus,Kolpuevirus
