	portal_prot	portal_eval	portal_cov	portal_prot_cov	TerL_prot	TerL_eval	TerL_cov	TerL_prot_cov	MCP_prot	MCP_eval	MCP_cov	MCP_prot_cov
sample-1_1093_6313	sample-1_1093_6313|599|1	7.8e-299	0.84	0.995	sample-1_1093_6313|768|3	0.0	0.996	0.992				
sample-1_10_102032	sample-1_10_102032|726|29_28_27_26	0.0	0.844	1.001	sample-1_10_102032|580|32_31_30	3e-300	0.838	1.002	sample-1_10_102032|491|20	3.2e-295	1.0	1.0
sample-1_11_101626	sample-1_11_101626|851|17	0.0	0.978	0.982	sample-1_11_101626|695|19	0.0	1.003	0.988	sample-1_11_101626|490|10	1.5e-289	1.0	1.0
sample-1_12_101623	sample-1_12_101623|841|90	0.0	0.982	1.0	sample-1_12_101623|685|89	0.0	1.001	1.0	sample-1_12_101623|491|97	5.7e-295	1.002	1.0
sample-1_13_99291	sample-1_13_99291|822|41	0.0	0.964	1.0	sample-1_13_99291|1081|42	0.0	1.022	0.751	sample-1_13_99291|491|34	3.8e-292	1.002	1.0
sample-1_15_98423	sample-1_15_98423|796|96	5.3e-252	0.979	1.0	sample-1_15_98423|767|97	6e-218	0.962	0.997	sample-1_15_98423|507|84	1.5e-254	1.01	0.996
sample-1_16_98401	sample-1_16_98401|827|85	0.0	0.97	1.0	sample-1_16_98401|602|84	0.0	0.874	0.997	sample-1_16_98401|488|90	1.6e-297	0.996	1.0
sample-1_17_96846	sample-1_17_96846|817|11	1.4e-246	0.994	0.993	sample-1_17_96846|766|9	2.3e-257	0.977	1.0	sample-1_17_96846|491|13	1.3e-176	1.008	1.0
sample-1_18_96565	sample-1_18_96565|827|59	0.0	0.968	1.0	sample-1_18_96565|694|58	0.0	1.015	1.0	sample-1_18_96565|491|65	8.8e-295	1.0	1.0
sample-1_1971_3823	sample-1_1971_3823|403|1	1.6e-62	0.564	1.0								
sample-1_19_96211	sample-1_19_96211|796|112	1.8e-256	0.984	0.999	sample-1_19_96211|804|114_113	1.9e-251	1.001	0.996	sample-1_19_96211|495|110	1e-167	1.014	1.0
sample-1_1_194036	sample-1_1_194036|631|257	2e-203	0.774	0.998	sample-1_1_194036|766|255	1.2e-251	0.978	1.0	sample-1_1_194036|492|260	1.8e-180	1.012	1.0
sample-1_2023_3705									sample-1_2023_3705|501|2	1.6e-267	1.01	0.988
sample-1_2087_3578									sample-1_2087_3578|28|6	6.5e-13	0.057	1.0
sample-1_20_95736	sample-1_20_95736|827|81	0.0	0.97	1.0	sample-1_20_95736|602|80	0.0	0.874	0.997	sample-1_20_95736|488|86	1.6e-297	0.996	1.0
sample-1_21_95604	sample-1_21_95604|792|22_21	0.0	0.921	1.001	sample-1_21_95604|645|23	0.0	0.942	0.998	sample-1_21_95604|474|16_15	2.5e-275	0.969	1.002
sample-1_22_93708	sample-1_22_93708|827|81	0.0	0.97	1.0	sample-1_22_93708|602|80	0.0	0.874	0.997	sample-1_22_93708|488|86	1.6e-297	0.996	1.0
sample-1_2370_3154					sample-1_2370_3154|431|1	1.7e-119	0.536	0.995				
sample-1_23_92914	sample-1_23_92914|764|67	2.1e-198	0.965	1.0	sample-1_23_92914|1120|66	3.5e-184	0.951	0.711	sample-1_23_92914|511|85_87_89	1.8e-227	0.98	0.973
sample-1_241_22966	sample-1_241_22966|811|6	7.6e-246	0.986	0.991	sample-1_241_22966|766|8	1.2e-251	0.978	1.0	sample-1_241_22966|492|4	5.6e-181	1.012	1.0
sample-1_2468_3000	sample-1_2468_3000|236|1	1.7e-137	0.278	1.004	sample-1_2468_3000|694|2	0.0	1.015	1.0				
sample-1_2475_2996					sample-1_2475_2996|697|2	2.8e-09	0.41	0.679				
sample-1_2496_2968									sample-1_2496_2968|29|5	3.3e-13	0.057	1.0
sample-1_24_92306	sample-1_24_92306|891|116_117	2.1e-170	1.072	1.001	sample-1_24_92306|930|115	8.8e-137	1.156	0.976	sample-1_24_92306|568|120	2.6e-100	1.146	0.989
sample-1_2557_2904	sample-1_2557_2904|221|1	1.5e-128	0.259	1.005	sample-1_2557_2904|694|2	0.0	1.015	1.0				
sample-1_273_20403	sample-1_273_20403|842|16	0.0	0.985	1.0	sample-1_273_20403|615|17	0.0	0.899	1.0	sample-1_273_20403|502|11_10	7.9e-279	1.024	1.002
sample-1_2895_2535	sample-1_2895_2535|87|5	1.9e-20	0.102	1.0								
sample-1_2_180874	sample-1_2_180874|734|204	0.0	1.028	0.993	sample-1_2_180874|759|206	0.0	0.989	0.997	sample-1_2_180874|474|188	1.8e-268	1.009	1.0
sample-1_309_18290	sample-1_309_18290|862|9	0.0	1.007	0.999	sample-1_309_18290|1037|10	0.0	1.007	0.756	sample-1_309_18290|496|5	2.1e-277	1.01	1.0
sample-1_30_80291	sample-1_30_80291|782|49_48	3.1e-218	0.952	0.992	sample-1_30_80291|729|52_51	1.5e-231	0.932	1.001	sample-1_30_80291|492|46	1.8e-180	1.012	1.0
sample-1_3125_2250	sample-1_3125_2250|732|1	3e-161	0.887	1.001								
sample-1_3157_2206	sample-1_3157_2206|735|1	0.0	0.863	1.001								
sample-1_3406_1938					sample-1_3406_1938|645|1	5.3e-241	0.68	0.814				
sample-1_3423_1921									sample-1_3423_1921|31|1	5.7e-16	0.063	1.0
sample-1_347_16656									sample-1_347_16656|508|11	3.2e-256	1.012	0.996
sample-1_352_16508	sample-1_352_16508|807|14	2e-286	0.988	0.998	sample-1_352_16508|755|13	2.7e-275	0.96	0.999	sample-1_352_16508|490|16	8.1e-192	1.008	1.0
sample-1_3596_1751					sample-1_3596_1751|54|1	2.2e-11	0.054	0.87				
sample-1_3635_1721					sample-1_3635_1721|497|1	3e-262	0.728	1.002				
sample-1_3643_1714									sample-1_3643_1714|218|1	8e-134	0.445	1.0
sample-1_3684_1680	sample-1_3684_1680|221|2	2.5e-59	0.24	0.91	sample-1_3684_1680|323|1	5.1e-100	0.41	1.0				
sample-1_3983_1483					sample-1_3983_1483|373|2	7.3e-15	0.357	0.78				
sample-1_3_171347	sample-1_3_171347|393|10	2.2e-175	0.554	1.0	sample-1_3_171347|781|7_8	0.0	0.992	0.971	sample-1_3_171347|470|36	2.9e-263	1.0	1.0
sample-1_4061_1441									sample-1_4061_1441|437|1	1.4e-232	0.868	0.998
sample-1_41_65330	sample-1_41_65330|635|2	7.6e-15	0.312	0.405								
sample-1_4226_1355	sample-1_4226_1355|451|1	3.4e-241	0.53	1.002								
sample-1_4390_1275					sample-1_4390_1275|424|1	8.1e-107	0.473	0.882				
sample-1_4409_1266	sample-1_4409_1266|261|1	4.7e-67	0.313	0.973								
sample-1_4411_1265	sample-1_4411_1265|413|1	3.5e-222	0.485	1.002								
sample-1_4677_1147									sample-1_4677_1147|347|2	5.6e-97	0.611	0.873
sample-1_4798_1110	sample-1_4798_1110|241|3	8e-54	0.298	1.0								
sample-1_4954_1063	sample-1_4954_1063|289|1	6.1e-159	0.335	1.003	sample-1_4954_1063|51|2	1.3e-12	0.075	1.0				
sample-1_4981_1057					sample-1_4981_1057|352|1	9.8e-177	0.463	1.003				
sample-1_4_157545	sample-1_4_157545|908|4_5	1.2e-179	1.087	1.0	sample-1_4_157545|822|2_3	2e-118	0.992	0.979	sample-1_4_157545|567|7	6.7e-99	1.146	0.989
sample-1_516_11797	sample-1_516_11797|796|3	1.6e-248	0.978	1.0	sample-1_516_11797|751|5	3.7e-223	0.941	0.999				
sample-1_5191_1012									sample-1_5191_1012|337|1	1.2e-172	0.677	1.003
sample-1_5_155540	sample-1_5_155540|926|38_39_40_41	7.2e-166	1.083	0.984	sample-1_5_155540|868|34_35_36_37	6.2e-111	1.04	0.98	sample-1_5_155540|545|46_47	1.3e-83	1.101	0.991
sample-1_6_155389	sample-1_6_155389|920|185	3.2e-199	1.12	1.0	sample-1_6_155389|923|186	7.5e-142	1.133	0.982	sample-1_6_155389|567|183	1.6e-98	1.146	0.989
sample-1_7_152939	sample-1_7_152939|908|4_5	1.2e-179	1.087	1.0	sample-1_7_152939|822|2_3	2e-118	0.992	0.979	sample-1_7_152939|567|7	6.7e-99	1.146	0.989
sample-1_9_104613	sample-1_9_104613|836|24	0.0	0.978	1.0	sample-1_9_104613|694|25	0.0	1.015	1.0	sample-1_9_104613|490|18	5.8e-295	1.0	1.0
