protein_id	genome	start	end	strand	partial	yutin	cluster
sample-1_19_96211|104|1	sample-1_19_96211	2	313	-	True	gene86	cl_123
sample-1_19_96211|110|2	sample-1_19_96211	918	1247	-	False	BACON	cl_223
sample-1_19_96211|105|3	sample-1_19_96211	1562	1876	-	False	BACON	cl_223
sample-1_19_96211|144|4	sample-1_19_96211	1886	2317	-	False		cl_219
sample-1_19_96211|91|5	sample-1_19_96211	2280	2552	-	False		cl_219
sample-1_19_96211|129|6	sample-1_19_96211	2549	2935	-	False		cl_130
sample-1_19_96211|106|7	sample-1_19_96211	2877	3194	-	False		cl_133
sample-1_19_96211|198|8	sample-1_19_96211	3258	3851	-	False		cl_82
sample-1_19_96211|335|9	sample-1_19_96211	3855	4859	-	False	PDDEXK_alpha	cl_246
sample-1_19_96211|172|10	sample-1_19_96211	4804	5319	-	False		cl_268
sample-1_19_96211|159|11	sample-1_19_96211	5332	5808	-	False		cl_258
sample-1_19_96211|92|12	sample-1_19_96211	5933	6208	+	False		cl_3026
sample-1_19_96211|99|13	sample-1_19_96211	6713	7009	-	False		cl_648
sample-1_19_96211|178|14	sample-1_19_96211	7513	8046	+	False		cl_1130
sample-1_19_96211|247|15	sample-1_19_96211	8057	8797	+	False		cl_326
sample-1_19_96211|111|16	sample-1_19_96211	9024	9356	+	False		cl_260
sample-1_19_96211|280|17	sample-1_19_96211	9606	10445	+	False		cl_252
sample-1_19_96211|115|18	sample-1_19_96211	11535	11879	+	False		cl_277
sample-1_19_96211|97|19	sample-1_19_96211	11845	12135	+	False		cl_904
sample-1_19_96211|84|20	sample-1_19_96211	12153	12404	+	False		cl_1974
sample-1_19_96211|89|21	sample-1_19_96211	12615	12881	+	False		cl_1870
sample-1_19_96211|79|22	sample-1_19_96211	13047	13283	+	False		cl_359
sample-1_19_96211|72|23	sample-1_19_96211	13287	13502	+	False		cl_2728
sample-1_19_96211|73|24	sample-1_19_96211	13512	13730	+	False		cl_378
sample-1_19_96211|100|25	sample-1_19_96211	13735	14034	+	False		cl_254
sample-1_19_96211|90|26	sample-1_19_96211	14024	14293	+	False		cl_1017
sample-1_19_96211|85|27	sample-1_19_96211	14364	14618	+	False		cl_1631
sample-1_19_96211|103|28	sample-1_19_96211	14726	15034	+	False		cl_253
sample-1_19_96211|111|29	sample-1_19_96211	15034	15366	+	False		cl_243
sample-1_19_96211|103|30	sample-1_19_96211	15305	15613	+	False		cl_243
sample-1_19_96211|65|31	sample-1_19_96211	15604	15798	+	False		cl_244
sample-1_19_96211|85|32	sample-1_19_96211	15758	16012	+	False		cl_244
sample-1_19_96211|115|33	sample-1_19_96211	16094	16438	+	False		cl_313
sample-1_19_96211|295|34	sample-1_19_96211	16441	17325	+	False		cl_266
sample-1_19_96211|68|35	sample-1_19_96211	17725	17928	+	False		cl_248
sample-1_19_96211|155|36	sample-1_19_96211	18232	18696	+	False		cl_264
sample-1_19_96211|385|37	sample-1_19_96211	18809	19963	+	False	SF1	cl_5
sample-1_19_96211|61|38	sample-1_19_96211	19941	20123	+	False	SF1	cl_2203
sample-1_19_96211|222|39	sample-1_19_96211	20448	21113	+	False	GIY	cl_1131
sample-1_19_96211|54|40	sample-1_19_96211	21671	21832	+	False		cl_410
sample-1_19_96211|85|41	sample-1_19_96211	21780	22034	+	False		
sample-1_19_96211|49|42	sample-1_19_96211	22043	22189	+	False		cl_249
sample-1_19_96211|77|43	sample-1_19_96211	22158	22388	+	False		cl_267
sample-1_19_96211|70|44	sample-1_19_96211	22463	22672	+	False		cl_269
sample-1_19_96211|191|45	sample-1_19_96211	22730	23302	+	False	UDG	cl_132
sample-1_19_96211|71|46	sample-1_19_96211	23350	23562	+	False	DNApB	
sample-1_19_96211|218|47	sample-1_19_96211	23600	24253	+	False	DNApB	cl_1
sample-1_19_96211|109|48	sample-1_19_96211	24219	24545	+	False	DNApB	
sample-1_19_96211|228|49	sample-1_19_96211	24792	25475	+	False	GIY	cl_328
sample-1_19_96211|368|50	sample-1_19_96211	25519	26622	+	False	DNApB	cl_1
sample-1_19_96211|108|51	sample-1_19_96211	26626	26949	+	False		cl_247
sample-1_19_96211|501|52	sample-1_19_96211	26955	28457	+	False	SNF2	cl_24
sample-1_19_96211|336|53	sample-1_19_96211	28519	29526	+	False	RecT	cl_135
sample-1_19_96211|235|54	sample-1_19_96211	29599	30303	+	False	gene20	cl_232
sample-1_19_96211|288|55	sample-1_19_96211	30453	31316	+	False	ssb	cl_127
sample-1_19_96211|387|56	sample-1_19_96211	31369	32529	+	False	primase	cl_2
sample-1_19_96211|172|57	sample-1_19_96211	32501	33016	+	False	gene23	cl_233
sample-1_19_96211|413|58	sample-1_19_96211	33061	34299	+	False	DNA_lig	cl_8
sample-1_19_96211|318|59	sample-1_19_96211	34367	35320	+	False		cl_261
sample-1_19_96211|87|60	sample-1_19_96211	35323	35583	+	False		cl_255
sample-1_19_96211|171|61	sample-1_19_96211	35587	36099	+	False		cl_9
sample-1_19_96211|107|62	sample-1_19_96211	36208	36528	+	False	DUF2829	cl_200
sample-1_19_96211|109|63	sample-1_19_96211	36525	36851	+	False		cl_316
sample-1_19_96211|158|64	sample-1_19_96211	36841	37314	+	False	dGMP_kinase	cl_215
sample-1_19_96211|174|65	sample-1_19_96211	37314	37835	+	False	Thy1	cl_7
sample-1_19_96211|57|66	sample-1_19_96211	37835	38005	+	False		
sample-1_19_96211|40|67	sample-1_19_96211	38025	38144	+	False		
sample-1_19_96211|33|68	sample-1_19_96211	38314	38412	+	False		
sample-1_19_96211|234|69	sample-1_19_96211	38689	39390	+	False	Gp157	cl_13
sample-1_19_96211|335|70	sample-1_19_96211	39415	40419	+	False	gene34	cl_10
sample-1_19_96211|115|71	sample-1_19_96211	40419	40763	+	False		cl_263
sample-1_19_96211|151|72	sample-1_19_96211	41209	41661	-	False		cl_2339
sample-1_19_96211|53|73	sample-1_19_96211	41715	41873	-	False		cl_242
sample-1_19_96211|1827|74	sample-1_19_96211	41933	47413	-	False	long_transcr	cl_1369
sample-1_19_96211|552|75	sample-1_19_96211	47382	49037	-	False		cl_242
sample-1_19_96211|1760|76	sample-1_19_96211	49186	54465	-	False		cl_2339
sample-1_19_96211|1088|77	sample-1_19_96211	54484	57747	-	False	ZnMc_tr	
sample-1_19_96211|171|78	sample-1_19_96211	57713	58225	-	False		cl_250
sample-1_19_96211|654|79	sample-1_19_96211	58273	60234	-	False		
sample-1_19_96211|380|80	sample-1_19_96211	60284	61423	-	False		
sample-1_19_96211|193|81	sample-1_19_96211	61794	62372	-	False	long_transcr	cl_23
sample-1_19_96211|872|82	sample-1_19_96211	62338	64953	-	False	gene48	cl_245
sample-1_19_96211|153|83	sample-1_19_96211	64957	65415	-	False	gene48	cl_245
sample-1_19_96211|59|84	sample-1_19_96211	65375	65551	-	False		
sample-1_19_96211|202|85	sample-1_19_96211	65586	66191	-	False	gene49	
sample-1_19_96211|663|86	sample-1_19_96211	66339	68327	-	False	gene49	cl_107
sample-1_19_96211|900|87	sample-1_19_96211	68411	71110	-	False	Tstab	cl_228
sample-1_19_96211|463|88	sample-1_19_96211	71049	72437	-	False	Tstab	cl_228
sample-1_19_96211|261|89	sample-1_19_96211	72409	73191	-	False	Ttub	cl_11
sample-1_19_96211|299|90	sample-1_19_96211	73163	74059	-	False	IHF_53	cl_128
sample-1_19_96211|247|91	sample-1_19_96211	74065	74805	-	False	IHF_54	cl_12
sample-1_19_96211|89|92	sample-1_19_96211	74815	75081	-	False		cl_259
sample-1_19_96211|221|93	sample-1_19_96211	75088	75750	-	False		cl_129
sample-1_19_96211|114|94	sample-1_19_96211	75955	76296	-	False		cl_235
sample-1_19_96211|139|95	sample-1_19_96211	76280	76696	-	False		cl_350
sample-1_19_96211|173|96	sample-1_19_96211	76709	77227	-	False		cl_360
sample-1_19_96211|74|97	sample-1_19_96211	77453	77674	-	False		cl_304
sample-1_19_96211|116|98	sample-1_19_96211	77798	78145	-	False		cl_265
sample-1_19_96211|127|99	sample-1_19_96211	78112	78492	-	False		cl_959
sample-1_19_96211|45|100	sample-1_19_96211	78489	78623	-	False		cl_1416
sample-1_19_96211|246|101	sample-1_19_96211	78709	79446	-	False	BACON	cl_278
sample-1_19_96211|382|102	sample-1_19_96211	79519	80664	-	False		cl_96
sample-1_19_96211|432|103	sample-1_19_96211	80624	81919	-	False		cl_96
sample-1_19_96211|53|104	sample-1_19_96211	81904	82062	-	False	BACON	cl_96
sample-1_19_96211|925|105	sample-1_19_96211	82081	84855	-	False		cl_96
sample-1_19_96211|266|106	sample-1_19_96211	84922	85719	-	False	gene73	cl_262
sample-1_19_96211|262|107	sample-1_19_96211	85910	86695	-	False	gene74	cl_122
sample-1_19_96211|78|108	sample-1_19_96211	86718	86951	-	False	gene74	cl_122
sample-1_19_96211|339|109	sample-1_19_96211	86967	87983	-	False	gene75	cl_121
sample-1_19_96211|495|110	sample-1_19_96211	88034	89518	-	False	MCP	cl_3
sample-1_19_96211|446|111	sample-1_19_96211	89530	90867	-	False	gene77	cl_126
sample-1_19_96211|796|112	sample-1_19_96211	91097	93484	-	False	portal	cl_4
sample-1_19_96211|469|113	sample-1_19_96211	93485	94891	-	False	TerL	cl_6
sample-1_19_96211|337|114	sample-1_19_96211	94878	95888	-	False	TerL	cl_6
sample-1_19_96211|106|115	sample-1_19_96211	95892	96209	-	True	gene86	
