contigID	evalue	pident	fident	nident	mismatch	qcov	tcov	qstart	qend	qlen	tstart	tend	tlen	alnlen	bits	target	kingdom	phylum	class	order	family	genus	species
contig_48716	0.00E+00	99.4	0.994	0	36	1	0.169	1	6081	6081	21913	27995	35986	6083	10736	tid|10533|MN513344.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
contig_2664	0.00E+00	99.9	0.999	0	10	0.665	0.291	14932	4990	14961	57	10000	34179	9944	17778	tid|10524|AB728839.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F
contig_2451	0.00E+00	99.3	0.993	0	21	0.613	0.084	1912	4940	4941	30001	33027	36077	3029	5332	tid|129951|MH121108.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
contig_2453	0.00E+00	96.3	0.963	0	224	0.637	0.168	3484	9589	9589	30001	36067	36077	6106	9841	tid|129951|MH121108.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
contig_48715	0.00E+00	99.1	0.991	0	47	0.956	0.155	1	5230	5470	14772	20000	33837	5230	9162	tid|129951|MN628615.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
contig_13045	0.00E+00	98.8	0.988	0	23	0.991	0.053	1	1886	1903	24106	25989	35814	1886	3275	tid|129951|MK041233.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
contig_2450	0.00E+00	99.9	0.999	0	3	0.966	0.914	2611	1	2704	1	2611	2856	2611	4675	tid|129951|MH322449.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
contig_2464	0.00E+00	99.9	0.999	0	5	0.266	0.15	14392	9275	19274	20001	25119	34198	5119	9165	tid|10524|KY316161.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F
contig_33906	0.00E+00	99.9	0.999	0	1	0.951	0.033	20	1133	1171	2459	3572	33533	1114	1993	tid|129875|MG872075.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A
contig_2452	0.00E+00	94	0.94	0	355	0.59	0.164	4035	10000	10106	30002	35915	36023	5966	9001	tid|129951|MK041227.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
contig_5040	0.00E+00	99.3	0.993	0	27	1	0.106	3809	1	3809	12412	16224	36003	3813	6718	tid|129951|JX173083.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
contig_8600	0.00E+00	99.9	0.999	0	2	0.96	0.81	2356	1	2454	1	2356	2907	2356	4214	tid|129951|MH322262.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
contig_7385	0.00E+00	98.7	0.987	0	35	0.997	0.084	2728	1	2735	10538	13265	32480	2728	4737	tid|10535|BD268216.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	unidentified adenovirus
contig_48956	0.00E+00	99.6	0.996	0	24	0.758	0.168	7885	1860	7953	1	6024	35911	6026	10688	tid|129951|LC504573.1	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
																							
																							
	Description	Scientific Name	Max Score	Total Score	Query Cover	E value	Per. Ident	Acc. Len	Accession	Score	Expect	Identities	Gaps	Strand	query.start	query.end	Sbjct.start	Sbjct.end					
contig_48716	"Human adenovirus 1 isolate hAdV-C1/Russia/SPE-RII-MH204065V/2024, complete genome"	Human adenovirus 1	11038	11038	100%	0	99.42%	35905	PX146718.1	11038 bits(5977)	0	6048/6083(99%)	2/6083(0%)	Plus/Plus	1	6081	21866	27948					
