"","Row.names","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR","query_id","query_length","hit_accession","hit_description","hit_length","e_value","identity","align_length","percent_identity","coverage"
"1","1","contig_34440",0,47,1,62,0,1,1,"contig_3357",6966,"PP901925","Human astrovirus 1 isolate E59S4 putative serine protease (ORF1a) gene, complete cds; RNA-dependent RNA polymerase (ORF1b) gene, partial cds; and capsid protein (ORF2) gene, complete cds",6839,0,6746,6826,98.83,97.99
"2","2","contig_3567",1,46,0,63,Inf,0.427272727272728,1,"contig_34440",1161,"KM358468","Human astrovirus UK1, complete genome",6586,0,1119,1144,97.81,98.54
"3","3","contig_3669",0,47,2,61,0,0.506088407005839,1,"contig_3567",6353,"MT766325","MAG: Astrovirus MLB1 isolate AstV/CHN/XJ/env/2018/MD-ctg1, complete genome",6161,0,6123,6161,99.38,96.98
"4","4","contig_43336",0,47,3,60,0,0.259132610508757,1,"contig_3669",6097,"KX022687","Astrovirus MLB2 isolate MLB2-LIHT putative RNA dependent RNA polymerase and putative serine protease genes, partial cds; and putative capsid protein gene, complete cds",6079,0,6011,6062,99.16,99.43
"5","5","contig_4647",0,47,1,62,0,1,1,"contig_43336",1049,"KX022687","Astrovirus MLB2 isolate MLB2-LIHT putative RNA dependent RNA polymerase and putative serine protease genes, partial cds; and putative capsid protein gene, complete cds",6079,0,1029,1040,98.94,99.14
"6","6","contig_49065",0,47,1,62,0,1,1,"contig_4647",4239,"KF039910","Human astrovirus 2 isolate Rus-Nsc05-430, complete genome",6792,0,4041,4210,95.99,99.32
"7","7","contig_8153",0,47,1,62,0,1,1,"contig_49047",5827,"ON807352","Mamastrovirus 1 isolate G22-010 putative serine protease gene, partial cds; putative RNA-dependent RNA polymerase gene, complete cds; and capsid precursor protein gene, partial cds",6448,0,5507,5575,98.78,95.68
