genome	genus_cluster	genus_names	species_cluster	species_names	most_similar_genome	most_similar_ref_genome	ref_genus	ref_species	pid	qcov
sample-1_4_157545	genus__2	Epsilon_2	species__30	Epsilon_2_6,Epsilon_2_2	OICG01000006	OICG01000006	Epsilon_2	Epsilon_2_2	95.87	91.05
sample-1_3125_2250	genus__2	Epsilon_2	species__30	Epsilon_2_6,Epsilon_2_2	OIZE01000030	OIZE01000030	Epsilon_2	Epsilon_2_3	98.18	100.0
sample-1_6_155389	genus__2	Epsilon_2	species__30	Epsilon_2_6,Epsilon_2_2	OICG01000006	OICG01000006	Epsilon_2	Epsilon_2_2	94.9	91.93
sample-1_5_155540	genus__2	Epsilon_2	species__82	species__82	sample-1_4_157545	OGZF01000025	Epsilon_2	Epsilon_2_5	89.78	81.99
sample-1_7_152939	genus__2	Epsilon_2	species__87	species__87	OCPZ01000017	OCPZ01000017	Epsilon_2	Epsilon_2_3	94.56	88.04
sample-1_2895_2535	genus__4	Buchavirus	species__137	species__137	OJRV01000117	OJRV01000117	Buchavirus	Buchavirus hiberniae	99.43	89.47
sample-1_2023_3705	genus__5	Buhlduvirus	species__133	species__133	MZ130491_1_98573	MZ130491_1_98573	Bohxovirus	Bohxovirus oralis	91.78	84.97
sample-1_3406_1938	genus__5	Buhlduvirus	species__138	species__138	MT774409_1_96717	MT774409_1_96717	Cacepaovirus	Cacepaovirus simiae	77.52	75.49
sample-1_4411_1265	genus__5	Buhlduvirus	species__147	species__147	MZ130491_1_98573	MZ130491_1_98573	Bohxovirus	Bohxovirus oralis	82.66	99.37
sample-1_4409_1266	genus__6	Jahgtovirus	species__25	Jahgtovirus secundus	MN917146_1_93030	MN917146_1_93030	Jahgtovirus	Jahgtovirus secundus	96.92	100.0
sample-1_241_22966	genus__6	Jahgtovirus	species__25	Jahgtovirus secundus	SRR4295175_ms_5	SRR4295175_ms_5	Jahgtovirus	Jahgtovirus secundus	95.29	99.57
sample-1_1_194036	genus__6	Jahgtovirus	species__55	species__55	3300008513_____Ga0111022_100109	3300008513_____Ga0111022_100109	Jahgtovirus	Jahgtovirus gastrointestinalis	94.86	95.46
sample-1_30_80291	genus__6	Jahgtovirus	species__55	species__55	sample-1_1_194036	SRR4295175_ms_5	Jahgtovirus	Jahgtovirus secundus	88.24	90.89
sample-1_1093_6313	genus__8	Zeta_4	species__46	Zeta_4_1	OLNL01000026	OLNL01000026	Zeta_4	Zeta_4_1	98.73	99.79
sample-1_1971_3823	genus__8	Zeta_4	species__132	species__132	OLNL01000026	OLNL01000026	Zeta_4	Zeta_4_1	90.1	83.0
sample-1_2087_3578	genus__11	Blohavirus	species__38	species__38	sample-1_9_104613	ERR844016_ms_1	Blohavirus	Blohavirus americanus	96.31	100.0
sample-1_2468_3000	genus__11	Blohavirus	species__38	species__38	sample-1_9_104613	MT774396_1_101153	Blohavirus	Blohavirus americanus	93.88	99.97
sample-1_9_104613	genus__11	Blohavirus	species__38	species__38	sample-1_10_102032	MZ130495_1_101130	Blohavirus	Blohavirus faecalis	94.0	69.1
sample-1_10_102032	genus__11	Blohavirus	species__38	species__38	sample-1_9_104613	ERR844016_ms_1	Blohavirus	Blohavirus americanus	96.09	73.98
sample-1_2496_2968	genus__11	Blohavirus	species__40	Blohavirus americanus	sample-1_10_102032	OKRV01000012	Birpovirus	Birpovirus hominis	88.95	99.97
sample-1_18_96565	genus__11	Blohavirus	species__40	Blohavirus americanus	ERR844016_ms_1	ERR844016_ms_1	Blohavirus	Blohavirus americanus	97.74	97.89
sample-1_2557_2904	genus__11	Blohavirus	species__52	Blohavirus faecalis	sample-1_18_96565	MT774396_1_101153	Blohavirus	Blohavirus americanus	91.97	97.35
sample-1_309_18290	genus__12	Culoivirus	species__24	Culoivirus americanus	OLRA01000126	OLRA01000126	Culoivirus	Culoivirus americanus	97.74	94.58
sample-1_5191_1012	genus__13	Kehishuvirus	species__61	Kehishuvirus splanchnicus	MT774378_1_101662	MT774378_1_101662	Mahstovirus	Mahstovirus faecalis	96.74	99.9
sample-1_4061_1441	genus__13	Kehishuvirus	species__144	species__144	ERR589736_NODE_224_length_101034_cov_15.6328	ERR589736_NODE_224_length_101034_cov_15.6328	Kahnovirus	Kahnovirus oralis	77.9	89.31
sample-1_3157_2206	genus__14	Cohcovirus	species__4	Cohcovirus splanchnicus	OGXX01000055	OGXX01000055	Canhaevirus	Canhaevirus hiberniae	74.5	100.0
sample-1_3423_1921	genus__14	Cohcovirus	species__139	species__139	ERR589544_NODE_118_length_99073_cov_42.2977	ERR589544_NODE_118_length_99073_cov_42.2977	Cohcovirus	Cohcovirus splanchnicus	99.9	100.0
sample-1_15_98423	genus__15	Kolpuevirus	species__32	Kolpuevirus hominis	OLPO01000063	OLPO01000063	Kolpuevirus	Kolpuevirus hominis	98.7	92.81
sample-1_347_16656	genus__15	Kolpuevirus	species__130	species__130	sample-1_15_98423	NG-14253_56xxx_lib223972_5684_NODE_1_length_101680_cov_95.3006	Kolpuevirus	Kolpuevirus hominis	80.35	65.37
sample-1_3635_1721	genus__16	Bohxovirus	species__141	species__141	MZ130491_1_98573	MZ130491_1_98573	Bohxovirus	Bohxovirus oralis	94.13	100.0
sample-1_4226_1355	genus__16	Bohxovirus	species__145	species__145	MZ130491_1_98573	MZ130491_1_98573	Bohxovirus	Bohxovirus oralis	90.57	100.0
sample-1_4390_1275	genus__17	Kingevirus	species__146	species__146	Sib1_ms_5	Sib1_ms_5	Kingevirus	Kingevirus communis	91.45	100.0
sample-1_4677_1147	genus__17	Kingevirus	species__148	species__148	F6_NODE_4_length_91062_cov_72.306460	F6_NODE_4_length_91062_cov_72.306460	Kingevirus	Kingevirus communis	98.64	77.07
sample-1_3_171347	genus__18	Zeta_9	species__6	Zeta_9_1	OIXH01000029	OIXH01000029	Zeta_9	Zeta_9_1	97.66	94.53
sample-1_4981_1057	genus__18	Zeta_9	species__6	Zeta_9_1	OINS01000001	OINS01000001	Zeta_9	Zeta_9_1	99.34	100.0
sample-1_273_20403	genus__21	Afonbuvirus	species__7	Afonbuvirus intestinihominis/faecalis	3300013752_____Ga0117817_1000004	3300013752_____Ga0117817_1000004	Afonbuvirus	Afonbuvirus coli	98.54	98.5
sample-1_12_101623	genus__22	Buchavirus	species__100	species__100	OJPW01000082	OJPW01000082	Buchavirus	Buchavirus intestinalis	96.3	74.13
sample-1_16_98401	genus__24	Aurodevirus	species__5	Aurodevirus hiberniae	3300008360_____Ga0114875_1000146	3300008360_____Ga0114875_1000146	Aurodevirus	Aurodevirus hiberniae	99.34	99.79
sample-1_21_95604	genus__24	Aurodevirus	species__5	Aurodevirus hiberniae	3300007714_____Ga0105661_1000061	3300007714_____Ga0105661_1000061	Aurodevirus	Aurodevirus hiberniae	97.61	97.8
sample-1_22_93708	genus__24	Aurodevirus	species__5	Aurodevirus hiberniae	3300008360_____Ga0114875_1000146	3300008360_____Ga0114875_1000146	Aurodevirus	Aurodevirus hiberniae	99.24	98.53
sample-1_20_95736	genus__24	Aurodevirus	species__5	Aurodevirus hiberniae	3300008360_____Ga0114875_1000146	3300008360_____Ga0114875_1000146	Aurodevirus	Aurodevirus hiberniae	99.24	99.48
sample-1_19_96211	genus__26	Junduvirus	species__2	Junduvirus communis	SRS011084_NODE_220_length_95221_cov_30.7473	SRS011084_NODE_220_length_95221_cov_30.7473	Junduvirus	Junduvirus communis	97.3	97.77
sample-1_2_180874	genus__29	Zeta_3	species__21	Zeta_3_1	OWII01000011	OWII01000011	Zeta_3	Zeta_3_1	97.69	95.08
sample-1_4954_1063	genus__44	genus__44	species__51	species__51	MT774398_1_100198	MT774398_1_100198	Buchavirus	Buchavirus hominis	74.97	92.94
sample-1_3643_1714	genus__44	genus__44	species__51	species__51	3300014538_____Ga0134452_100100	3300014538_____Ga0134452_100100	Aurodevirus	Aurodevirus intestinalis	76.96	98.83
sample-1_11_101626	genus__44	genus__44	species__51	species__51	MN037_S1_79	MN037_S1_79	Aurodevirus	Aurodevirus hominis	76.98	14.14
sample-1_13_99291	genus__52	genus__52	species__111	species__111	OLNI01000077	OLNI01000077	Aurodevirus	Aurodevirus intestinalis	80.67	47.99
sample-1_17_96846	genus__53	Jahgtovirus	species__9	Jahgtovirus intestinalis	SRS143417_NODE_148_length_97094_cov_7.69295	SRS143417_NODE_148_length_97094_cov_7.69295	Jahgtovirus	Jahgtovirus intestinalis	98.0	97.42
sample-1_24_92306	genus__67	genus__67	species__126	species__126	PPYF01266999	PPYF01266999	Epsilon_1	Epsilon_1_6	79.72	49.25
sample-1_352_16508	genus__68	Endlipuvirus	species__27	Endlipuvirus intestinihominis	Long_crAss_ms_9	Long_crAss_ms_9	Endlipuvirus	Endlipuvirus intestinihominis	99.26	100.0
sample-1_41_65330	genus__72	genus__72	species__129	species__129	OLGL01000107	OLGL01000107	Afonbuvirus	Afonbuvirus coli	80.63	2.89
sample-1_516_11797	genus__73	genus__73	species__131	species__131	MZ130478_1_100314	MZ130478_1_100314	Kolpuevirus	Kolpuevirus coli	82.46	43.99
sample-1_2370_3154	genus__74	genus__74	species__134	species__134	OGQX01000099	OGQX01000099	Kahnovirus	Kahnovirus copri	74.04	11.98
sample-1_2809_2618	genus__76	genus__76	species__136	species__136	3300014547_____Ga0134415_100047	3300014547_____Ga0134415_100047	Kahnovirus	Kahnovirus copri	70.59	33.42
sample-1_3596_1751	genus__77	genus__77	species__140	species__140	OHQM01000028	OHQM01000028	Carjivirus	Carjivirus communis	99.23	7.42
sample-1_4798_1110	genus__80	genus__80	species__149	species__149	MT774391_1_99212	MT774391_1_99212	Kolpuevirus	Kolpuevirus hominis	73.21	38.29
