contigID	evalue	pident	fident	nident	mismatch	qcov	tcov	qstart	qend	qlen	tstart	tend	tlen	alnlen	bits	target	kingdom	phylum	class	order	family	genus	species
contig_9569	0.000E+00	98.900	0.989	0	25	1.000	0.017	1	2284	2285	95689	97972	136217	2284	3986	tid|2293208|NZ_QUIS01000009.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. AM36-17
contig_9629	0.000E+00	95.600	0.956	0	99	0.991	0.031	2276	22	2276	65805	68059	72821	2255	3607	tid|165179|NZ_QSSA01000019.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri
contig_9660	2.173E-21	74.800	0.748	0	40	0.074	0.203	2170	2004	2272	633	793	795	167	113	tid|340016|KX813858.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	unclassified Viruses family	unclassified Viruses genus	uncultured virus
contig_9692	0.000E+00	93.100	0.931	0	62	0.398	0.006	1988	1084	2275	563	1465	148299	905	1327	tid|39491|NZ_QSOB01000006.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified Lachnospiraceae genus	[Eubacterium] rectale
contig_9753	0.000E+00	99.100	0.991	0	15	0.751	0.024	1696	1	2259	20508	22207	69755	1700	2979	tid|47678|NZ_QSUJ01000025.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
contig_9783	0.000E+00	97.700	0.977	0	49	0.935	0.006	1	2110	2256	320549	322659	377249	2111	3569	tid|2292352|NZ_QSTA01000002.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. OM08-24
contig_9815	0.000E+00	86.800	0.868	0	165	0.555	0.054	2	1251	2251	3286	4535	23243	1250	1506	tid|2292193|NZ_QRTS01000063.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. AF26-7BH
contig_9847	8.247E-272	80.500	0.805	0	201	0.460	0.003	1196	2228	2247	54135	55167	312974	1033	945	tid|2292243|NZ_QUGE01000001.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	Peptoclostridium sp. AF21-18
contig_29738	0.000E+00	99.100	0.991	0	11	0.993	0.002	1237	1	1246	70006	71243	501030	1238	2171	tid|246787|NZ_QRSV01000005.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus
contig_29767	5.617E-258	90.700	0.907	0	62	0.535	0.002	9	678	1253	371964	372627	377249	670	897	tid|2292352|NZ_QSTA01000002.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. OM08-24
contig_29796	0.000E+00	98.700	0.987	0	16	1.000	0.038	1	1245	1245	8146	9390	32697	1245	2165	tid|2662297|MN552150.1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus phage P4565
contig_29824	0.000E+00	99.500	0.995	0	6	0.977	0.027	1216	1	1244	18086	19301	44868	1216	2158	tid|2302925|NZ_QVLZ01000054.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. AF32-8BH
contig_29882	0.000E+00	99.100	0.991	0	11	1.000	0.014	1	1243	1243	52310	53552	90160	1243	2179	tid|165179|NZ_QSSA01000015.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri
contig_2994	4.767E-71	70.000	0.700	0	192	0.090	0.005	4804	5444	7101	117169	117809	120625	641	280	tid|2293203|NZ_QTYF01000007.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. AM31-32
contig_42773	7.206E-64	69.300	0.693	0	192	0.595	0.000	281	907	1053	1315627	1316253	1474259	627	253	tid|1703332|NZ_QUKT01000002.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified Lachnospiraceae genus	Lachnospiraceae bacterium TF01-11
contig_42831	3.762E-91	98.000	0.980	0	4	0.193	0.005	321	121	1043	1668	1868	37125	201	344	tid|1653434|NZ_QVLW01000015.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Sellimonas	Sellimonas intestinalis
contig_4289	9.344E-65	70.100	0.701	0	170	0.120	0.122	2567	1998	4756	1607	2176	4662	570	259	tid|2219138|MG641187.1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unclassified Microviridae genus	Alces alces faeces associated microvirus MP21 4718
contig_42918	8.619E-292	81.500	0.815	0	193	0.991	0.062	10	1051	1051	12092	13133	16897	1042	1008	tid|47678|NZ_QSUJ01000067.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
contig_42947	1.779E-21	71.200	0.712	0	69	0.229	0.003	5	245	1051	14646	14888	95765	243	113	tid|1398|NZ_QRUS01000008.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus coagulans
contig_42976	1.279E-227	91.600	0.916	0	44	0.497	0.016	1051	530	1051	33430	33977	33977	548	796	tid|2292956|NZ_QTMY01000079.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CF01-10NS
contig_25277	0.000E+00	98.400	0.984	0	20	0.933	0.007	74	1331	1348	170924	172181	179547	1258	2170	tid|2293179|NZ_QTVD01000005.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. AF37-3AC
