Row.names,phrog,function,product
edge_1468_12,30761,unknown function,hypothetical protein
edge_1468_14,No_PHROG,unknown function,hypothetical protein
edge_1468_16,16126,unknown function,hypothetical protein
edge_1468_40,16983,unknown function,hypothetical protein
edge_1468_41,No_PHROG,unknown function,hypothetical protein
edge_1468_43,No_PHROG,unknown function,hypothetical protein
edge_1468_44,No_PHROG,unknown function,hypothetical protein
edge_1468_49,15567,unknown function,hypothetical protein
edge_1468_50,No_PHROG,unknown function,hypothetical protein
edge_1468_54,No_PHROG,unknown function,hypothetical protein
edge_1468_55,No_PHROG,unknown function,hypothetical protein
edge_1468_57,10740,unknown function,hypothetical protein
edge_1468_58,18243,unknown function,hypothetical protein
edge_1468_61,4852,unknown function,hypothetical protein
edge_1468_62,15866,unknown function,hypothetical protein
edge_1468_68,27480,unknown function,hypothetical protein
edge_1468_71,No_PHROG,unknown function,hypothetical protein
edge_1468_72,13589,unknown function,hypothetical protein
edge_1468_73,881,lysis,holin
edge_1468_77,134,unknown function,hypothetical protein
edge_1476_10,25,connector,head closure Hc1
edge_1476_18,9,head and packaging,terminase large subunit
edge_1476_19,No_PHROG,unknown function,hypothetical protein
edge_1476_20,4247,head and packaging,virion structural protein
edge_1476_21,4321,DNA, RNA and nucleotide metabolism,HNH endonuclease
edge_1476_22,4321,DNA, RNA and nucleotide metabolism,HNH endonuclease
edge_1476_23,4259,unknown function,hypothetical protein
edge_1476_4,5,connector,tail completion or Neck1 protein
edge_1476_8,2645,tail,major tail protein
edge_1501_16,No_PHROG,unknown function,hypothetical protein
edge_1512_1,No_PHROG,unknown function,hypothetical protein
edge_1512_14,No_PHROG,unknown function,hypothetical protein
edge_1512_4,No_PHROG,unknown function,hypothetical protein
edge_16_12,No_PHROG,unknown function,hypothetical protein
edge_16_14,538,tail,minor tail protein
edge_16_17,4372,tail,tail length tape measure protein
edge_16_18,4372,tail,tail length tape measure protein
edge_16_19,4372,tail,tail length tape measure protein
edge_16_2,No_PHROG,unknown function,hypothetical protein
edge_16_3,5302,tail,tail protein
edge_16_4,1129,lysis,holin
edge_16_5,4105,unknown function,hypothetical protein
edge_16_9,134,unknown function,hypothetical protein
edge_1627_22,No_PHROG,unknown function,hypothetical protein
edge_1627_28,6616,tail,tail protein
edge_1627_29,6616,tail,tail protein
edge_1627_34,No_PHROG,unknown function,hypothetical protein
edge_1631_21,No_PHROG,unknown function,hypothetical protein
edge_1631_28,No_PHROG,unknown function,hypothetical protein
edge_1631_4,No_PHROG,unknown function,hypothetical protein
edge_1632_1,5,connector,tail completion or Neck1 protein
edge_1632_2,3377,DNA, RNA and nucleotide metabolism,HNH endonuclease
edge_1633_13,38,head and packaging,terminase large subunit
edge_1633_14,599,moron, auxiliary metabolic gene and host takeover,Lar-like restriction alleviation protein
edge_1633_25,599,moron, auxiliary metabolic gene and host takeover,Lar-like restriction alleviation protein
edge_1633_26,9662,unknown function,hypothetical protein
edge_1633_38,No_PHROG,unknown function,hypothetical protein
edge_1709_37,11591,head and packaging,virion structural protein
edge_1709_38,No_PHROG,unknown function,hypothetical protein
edge_1709_52,No_PHROG,unknown function,hypothetical protein
edge_1709_54,No_PHROG,unknown function,hypothetical protein
edge_1732_12,51,head and packaging,terminase small subunit
edge_1732_18,14467,head and packaging,virion structural protein
edge_1732_19,16625,moron, auxiliary metabolic gene and host takeover,Bxa ADP-ribosyl transferase
edge_1732_29,64,head and packaging,portal protein
edge_1732_31,No_PHROG,unknown function,hypothetical protein
edge_1732_32,No_PHROG,unknown function,hypothetical protein
edge_1732_34,7064,tail,tail protein
edge_1732_35,25,connector,head closure Hc1
edge_1732_37,5377,unknown function,hypothetical protein
edge_1732_39,117,tail,major tail protein
edge_1732_40,10156,unknown function,hypothetical protein
edge_1732_41,No_PHROG,unknown function,hypothetical protein
edge_1732_42,No_PHROG,unknown function,hypothetical protein
edge_1732_53,No_PHROG,unknown function,hypothetical protein
edge_1732_59,116,other,DNA methyltransferase
edge_1732_7,No_PHROG,unknown function,hypothetical protein
edge_1732_78,No_PHROG,unknown function,hypothetical protein
edge_1732_9,No_PHROG,unknown function,hypothetical protein
edge_1782_18,No_PHROG,unknown function,hypothetical protein
edge_1782_30,No_PHROG,unknown function,hypothetical protein
edge_1782_34,No_PHROG,unknown function,hypothetical protein
edge_1782_36,No_PHROG,unknown function,hypothetical protein
edge_1845_21,No_PHROG,unknown function,hypothetical protein
edge_1845_22,No_PHROG,unknown function,hypothetical protein
edge_1845_43,No_PHROG,unknown function,hypothetical protein
edge_1847_1,No_PHROG,unknown function,hypothetical protein
edge_1847_10,No_PHROG,unknown function,hypothetical protein
edge_1847_11,No_PHROG,unknown function,hypothetical protein
edge_1847_13,No_PHROG,unknown function,hypothetical protein
edge_1847_18,No_PHROG,unknown function,hypothetical protein
edge_1847_19,No_PHROG,unknown function,hypothetical protein
edge_1847_2,298,DNA, RNA and nucleotide metabolism,exonuclease
edge_1847_23,No_PHROG,unknown function,hypothetical protein
edge_1847_24,No_PHROG,unknown function,hypothetical protein
edge_1847_3,No_PHROG,unknown function,hypothetical protein
edge_1847_30,38,head and packaging,terminase large subunit
edge_1847_31,No_PHROG,unknown function,hypothetical protein
edge_1847_32,No_PHROG,unknown function,hypothetical protein
edge_1847_33,7376,head and packaging,portal protein
edge_1847_34,30900,unknown function,hypothetical protein
edge_1847_35,No_PHROG,unknown function,hypothetical protein
edge_1847_37,7231,head and packaging,virion structural protein
edge_1847_38,No_PHROG,unknown function,hypothetical protein
edge_1847_39,5073,tail,tail fiber protein
edge_1847_4,No_PHROG,unknown function,hypothetical protein
edge_1847_40,No_PHROG,unknown function,hypothetical protein
edge_1847_41,8510,head and packaging,virion structural protein
edge_1847_43,8914,head and packaging,virion structural protein
edge_1847_44,20660,tail,tail length tape measure protein
edge_1847_8,1770,DNA, RNA and nucleotide metabolism,Holliday junction resolvase
edge_187_1,No_PHROG,unknown function,hypothetical protein
edge_187_10,No_PHROG,unknown function,hypothetical protein
edge_187_11,No_PHROG,unknown function,hypothetical protein
edge_187_2,44,DNA, RNA and nucleotide metabolism,single strand DNA binding protein
edge_187_3,67,other,DNA methyltransferase
edge_187_4,755,DNA, RNA and nucleotide metabolism,RNA ligase
edge_187_5,No_PHROG,unknown function,hypothetical protein
edge_187_6,531,DNA, RNA and nucleotide metabolism,Rnase H
edge_187_7,3584,DNA, RNA and nucleotide metabolism,replication initiation protein
edge_187_8,No_PHROG,unknown function,hypothetical protein
edge_187_9,No_PHROG,unknown function,hypothetical protein
edge_1979_7,No_PHROG,unknown function,hypothetical protein
edge_1980_1,10359,tail,minor tail protein
edge_1980_2,No_PHROG,unknown function,hypothetical protein
edge_1980_3,10528,tail,major tail protein
edge_1980_4,No_PHROG,unknown function,hypothetical protein
edge_1986_3,11299,unknown function,hypothetical protein
edge_1987_4,238,tail,major tail protein
edge_1989_12,16490,unknown function,hypothetical protein
edge_1989_20,533,head and packaging,portal protein
edge_1989_50,No_PHROG,unknown function,hypothetical protein
edge_1990_1,No_PHROG,unknown function,hypothetical protein
edge_1990_2,No_PHROG,unknown function,hypothetical protein
edge_1990_4,3266,connector,tail completion
edge_2044_10,194,head and packaging,head scaffolding protein
edge_2044_12,No_PHROG,unknown function,hypothetical protein
edge_2044_2,No_PHROG,unknown function,hypothetical protein
edge_2044_32,4,transcription regulation,transcriptional repressor
edge_2044_33,13246,DNA, RNA and nucleotide metabolism,replisome organizer
edge_2044_38,7838,DNA, RNA and nucleotide metabolism,exonuclease
edge_2044_40,No_PHROG,unknown function,hypothetical protein
edge_2044_8,544,head and packaging,major head protein
edge_2044_9,No_PHROG,unknown function,hypothetical protein
edge_2063_22,No_PHROG,unknown function,hypothetical protein
edge_209_1,95,integration and excision,integrase
edge_2104_3,No_PHROG,unknown function,hypothetical protein
edge_2104_4,533,head and packaging,portal protein
edge_2194_1,No_PHROG,unknown function,hypothetical protein
edge_2194_11,3904,tail,tail fiber protein
edge_2194_12,No_PHROG,unknown function,hypothetical protein
edge_2194_14,No_PHROG,unknown function,hypothetical protein
edge_2194_16,No_PHROG,unknown function,hypothetical protein
edge_2194_17,No_PHROG,unknown function,hypothetical protein
edge_2194_2,33,tail,distal tail protein Dit
edge_2194_32,No_PHROG,unknown function,hypothetical protein
edge_2199_1,2577,integration and excision,transposase
edge_2199_3,No_PHROG,unknown function,hypothetical protein
edge_2254_2,No_PHROG,unknown function,hypothetical protein
edge_2254_3,No_PHROG,unknown function,hypothetical protein
edge_2254_6,No_PHROG,unknown function,hypothetical protein
edge_2254_7,No_PHROG,unknown function,hypothetical protein
