transeq_contig	profile_id	profile_name	e-value	i-value
sample-1_16_98401_2	MCP	MCP	8e-195	1.3e-194
sample-1_20_95736_1	MCP	MCP	8.5e-195	1.3e-194
sample-1_22_93708_1	MCP	MCP	8.6e-195	1.3e-194
sample-1_13_99291_6	MCP	MCP	1.1e-192	1.6e-192
sample-1_10_102032_4	MCP	MCP	1.6e-192	1.6e-191
sample-1_9_104613_6	MCP	MCP	2e-192	1.4e-191
sample-1_12_101623_2	MCP	MCP	2.3e-192	3.6e-192
sample-1_18_96565_2	MCP	MCP	1.3e-191	1.8e-191
sample-1_11_101626_4	MCP	MCP	6.6e-189	6.6e-189
sample-1_309_18290_6	MCP	MCP	3.3e-187	4.7e-187
sample-1_352_16508_2	MCP	MCP	3.7e-187	5e-187
sample-1_2023_3705_5	MCP	MCP	9.5e-178	1.2e-177
sample-1_241_22966_5	MCP	MCP	1.4e-175	2.1e-175
sample-1_30_80291_6	MCP	MCP	1.8e-174	2.8e-174
sample-1_1_194036_3	MCP	MCP	4.6e-174	6.9e-174
sample-1_17_96846_1	MCP	MCP	1.3e-170	1.8e-170
sample-1_19_96211_5	MCP	MCP	2.9e-162	4.4e-162
sample-1_273_20403_6	MCP	MCP	4.4e-157	6.8e-157
sample-1_3_171347_2	MCP	MCP	8.9e-152	1.4e-151
sample-1_2_180874_5	MCP	MCP	4e-151	5.9e-151
sample-1_15_98423_5	MCP	MCP	1.5e-139	2e-139
sample-1_347_16656_2	MCP	MCP	3.1e-138	5.3e-138
sample-1_21_95604_5	MCP	MCP	5.1e-137	7.9e-137
sample-1_4061_1441_6	MCP	MCP	3.6e-135	4.4e-135
sample-1_1_194036_2	MCP	MCP	9.1e-119	1.6e-118
sample-1_5191_1012_2	MCP	MCP	6.5e-95	7.2e-95
sample-1_24_92306_2	MCP	MCP	4.1e-94	5.3e-94
sample-1_4677_1147_6	MCP	MCP	1.4e-93	1.8e-93
sample-1_7_152939_3	MCP	MCP	1.7e-92	2.5e-92
sample-1_4_157545_3	MCP	MCP	1.8e-92	2.5e-92
sample-1_6_155389_5	MCP	MCP	4.2e-92	6.1e-92
sample-1_3643_1714_3	MCP	MCP	3.1e-88	1.3e-87
sample-1_23_92914_2	MCP	MCP	1.2e-73	1.9e-73
sample-1_5_155540_3	MCP	MCP	4.7e-63	7.1e-63
sample-1_21_95604_4	MCP	MCP	4.4e-49	7.8e-49
sample-1_1_194036_1	MCP	MCP	1.7e-45	3.2e-45
sample-1_273_20403_4	MCP	MCP	6.5e-24	1e-23
sample-1_5_155540_2	MCP	MCP	7.1e-22	1.4e-21
sample-1_23_92914_3	MCP	MCP	3e-19	4.5e-19
sample-1_23_92914_1	MCP	MCP	1.6e-16	2.7e-16
sample-1_2809_2618_1	MCP	MCP	3.1e-08	4.6e-08
sample-1_1_194036_3	portal	portal	0.0	4.4e-41
sample-1_22_93708_1	portal	portal	0.0	0.0
sample-1_20_95736_1	portal	portal	0.0	0.0
sample-1_16_98401_2	portal	portal	0.0	0.0
sample-1_11_101626_6	portal	portal	0.0	0.0
sample-1_12_101623_2	portal	portal	0.0	0.0
sample-1_273_20403_4	portal	portal	0.0	0.0
sample-1_13_99291_6	portal	portal	0.0	0.0
