contig	portal	TerL	MCP
sample-1_1093_6313	sample-1_1093_6313|599|1	sample-1_1093_6313|768|3	not_found
sample-1_10_102032	sample-1_10_102032|726|29_28_27_26	sample-1_10_102032|580|32_31_30	sample-1_10_102032|491|20
sample-1_11_101626	sample-1_11_101626|851|17	sample-1_11_101626|695|19	sample-1_11_101626|490|10
sample-1_12_101623	sample-1_12_101623|841|90	sample-1_12_101623|685|89	sample-1_12_101623|491|97
sample-1_13_99291	sample-1_13_99291|822|41	sample-1_13_99291|1081|42	sample-1_13_99291|491|34
sample-1_15_98423	sample-1_15_98423|796|96	sample-1_15_98423|767|97	sample-1_15_98423|507|84
sample-1_16_98401	sample-1_16_98401|827|85	sample-1_16_98401|602|84	sample-1_16_98401|488|90
sample-1_17_96846	sample-1_17_96846|817|11	sample-1_17_96846|766|9	sample-1_17_96846|491|13
sample-1_18_96565	sample-1_18_96565|827|59	sample-1_18_96565|694|58	sample-1_18_96565|491|65
sample-1_1971_3823	sample-1_1971_3823|403|1	not_found	not_found
sample-1_19_96211	sample-1_19_96211|796|112	sample-1_19_96211|804|114_113	sample-1_19_96211|495|110
sample-1_1_194036	sample-1_1_194036|631|257	sample-1_1_194036|766|255	sample-1_1_194036|492|260
sample-1_2023_3705	not_found	not_found	sample-1_2023_3705|501|2
sample-1_2087_3578	not_found	not_found	too_short
sample-1_20_95736	sample-1_20_95736|827|81	sample-1_20_95736|602|80	sample-1_20_95736|488|86
sample-1_21_95604	sample-1_21_95604|792|22_21	sample-1_21_95604|645|23	sample-1_21_95604|474|16_15
sample-1_22_93708	sample-1_22_93708|827|81	sample-1_22_93708|602|80	sample-1_22_93708|488|86
sample-1_2370_3154	not_found	sample-1_2370_3154|431|1	not_found
sample-1_23_92914	sample-1_23_92914|764|67	sample-1_23_92914|1120|66	sample-1_23_92914|511|85_87_89
sample-1_241_22966	sample-1_241_22966|811|6	sample-1_241_22966|766|8	sample-1_241_22966|492|4
sample-1_2468_3000	too_short	sample-1_2468_3000|694|2	not_found
sample-1_2475_2996	not_found	too_short	not_found
sample-1_2496_2968	not_found	not_found	too_short
sample-1_24_92306	sample-1_24_92306|891|116_117	sample-1_24_92306|930|115	sample-1_24_92306|568|120
sample-1_2557_2904	too_short	sample-1_2557_2904|694|2	not_found
sample-1_273_20403	sample-1_273_20403|842|16	sample-1_273_20403|615|17	sample-1_273_20403|502|11_10
sample-1_2809_2618	not_found	not_found	not_found
sample-1_2895_2535	too_short	not_found	not_found
sample-1_2_180874	sample-1_2_180874|734|204	sample-1_2_180874|759|206	sample-1_2_180874|474|188
sample-1_309_18290	sample-1_309_18290|862|9	sample-1_309_18290|1037|10	sample-1_309_18290|496|5
sample-1_30_80291	sample-1_30_80291|782|49_48	sample-1_30_80291|729|52_51	sample-1_30_80291|492|46
sample-1_3125_2250	sample-1_3125_2250|732|1	not_found	not_found
sample-1_3157_2206	sample-1_3157_2206|735|1	not_found	not_found
sample-1_3406_1938	not_found	sample-1_3406_1938|645|1	not_found
sample-1_3423_1921	not_found	not_found	too_short
sample-1_347_16656	not_found	not_found	sample-1_347_16656|508|11
sample-1_352_16508	sample-1_352_16508|807|14	sample-1_352_16508|755|13	sample-1_352_16508|490|16
sample-1_3596_1751	not_found	too_short	not_found
sample-1_3635_1721	not_found	sample-1_3635_1721|497|1	not_found
sample-1_3643_1714	not_found	not_found	too_short
sample-1_3684_1680	too_short	too_short	not_found
sample-1_3983_1483	not_found	too_short	not_found
sample-1_3_171347	sample-1_3_171347|393|10	sample-1_3_171347|781|7_8	sample-1_3_171347|470|36
sample-1_4061_1441	not_found	not_found	sample-1_4061_1441|437|1
sample-1_41_65330	too_short	not_found	not_found
sample-1_4226_1355	sample-1_4226_1355|451|1	not_found	not_found
sample-1_4390_1275	not_found	too_short	not_found
sample-1_4409_1266	too_short	not_found	not_found
sample-1_4411_1265	too_short	not_found	not_found
sample-1_4677_1147	not_found	not_found	sample-1_4677_1147|347|2
sample-1_4798_1110	too_short	not_found	not_found
sample-1_4954_1063	too_short	too_short	not_found
sample-1_4981_1057	not_found	too_short	not_found
sample-1_4_157545	sample-1_4_157545|908|4_5	sample-1_4_157545|822|2_3	sample-1_4_157545|567|7
sample-1_516_11797	sample-1_516_11797|796|3	sample-1_516_11797|751|5	not_found
sample-1_5191_1012	not_found	not_found	sample-1_5191_1012|337|1
sample-1_5_155540	sample-1_5_155540|926|38_39_40_41	sample-1_5_155540|868|34_35_36_37	sample-1_5_155540|545|46_47
sample-1_6_155389	sample-1_6_155389|920|185	sample-1_6_155389|923|186	sample-1_6_155389|567|183
sample-1_7_152939	sample-1_7_152939|908|4_5	sample-1_7_152939|822|2_3	sample-1_7_152939|567|7
sample-1_9_104613	sample-1_9_104613|836|24	sample-1_9_104613|694|25	sample-1_9_104613|490|18
